species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Onychomys	4.9	2.5	32.113609999999994	-109.92111	Muridae	3.6837698943776966	4.4665
Onychomys	4.9	1.8	31.966667	-110.300003	Cricetidae	4.775692607899279	4.4665
Onychomys	4.9	1.8	32.0	-110.199997	Cricetidae	4.3967417802640965	4.4665
Onychomys	4.9	1.8	32.0	-110.199997	Cricetidae	4.66954695472663	4.4665
Onychomys	4.9	2.5	34.56167	-112.38278	Muridae	3.7826595520786777	4.4665
Onychomys	4.9	1.8	34.771111	-111.853058	Cricetidae	4.669848146595996	4.4665
Onychomys	2.5	1.9	32.113609999999994	-109.92111	Muridae	2.3725676327876526	2.19
Onychomys	4.9	2.5	39.055833	-95.689444	Muridae	3.1263869687126298	3.09
Onychomys	4.9	1.8	32.716667	-100.916664	Cricetidae	4.283197420186127	4.4665
Onychomys	4.9	2.5	32.518611	-96.380833	Muridae	3.623576386771148	4.4665
Onychomys	6.8	5.9	42.393056	-98.126111	Muridae	6.747981986416183	6.2895
Onychomys	4.9	1.8	37.200001	-100.300003	Cricetidae	2.5688123379547303	2.19
Onychomys	4.9	1.8	33.900002	-117.0	Cricetidae	3.1987172872554837	3.09
Onychomys	4.9	1.8	37.200001	-100.300003	Cricetidae	1.9316917285366693	2.19
Onychomys	5.2	4.3	37.04638900000001	-100.6508	Muridae	4.932637859854894	4.4665
Onychomys	4.9	1.8	37.200001	-100.300003	Cricetidae	2.3855989024976334	2.19
Onychomys	4.9	1.8	37.133331	-100.48333	Cricetidae	2.3344525895870576	2.19
Onychomys	4.9	2.5	39.055833	-95.689444	Muridae	4.867936502004771	4.4665
Onychomys	4.9	1.8	37.099998	-100.900002	Cricetidae	3.1780709708581925	3.09
Onychomys	4.9	1.8	37.200001	-100.300003	Cricetidae	4.337815725770206	4.4665
Onychomys	2.5	1.9	39.92361	-97.82139	Muridae	2.361957259516211	2.19
Onychomys	2.5	1.9	39.055833	-95.689444	Muridae	2.395990586953044	2.19
Onychomys	1.8	0.3	33.75	-99.5	Cricetidae	1.492545374846776	1.287
Onychomys	1.8	0.3	37.200001	-100.300003	Cricetidae	0.5843058865895914	0.4515
Onychomys	4.9	2.5	39.055833	-95.689444	Muridae	3.6358044156764797	4.4665
Onychomys	6.7	5.9	42.69	-98.64721999999999	Muridae	6.634488800473795	6.2895
Onychomys	6.7	5.9	42.393056	-98.12611	Muridae	5.914380016527866	6.2895
Onychomys	1.8	0.3	36.700001	-99.900002	Cricetidae	0.928321633804048	1.287
Onychomys	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.033853732023660384	0.07035
Onychomys	1.8	0.3	42.700001	-102.5	Cricetidae	0.5076750619140243	0.4515
Onychomys	1.8	0.3	37.200001	-100.300003	Cricetidae	1.0305764456470432	1.287
Onychomys	1.8	0.3	37.044701	-100.495201	Cricetidae	1.200645278525602	1.287
Onychomys	2.5	0.85	39.055833	-95.689444	Muridae	2.3139813758987806	2.19
Onychomys	0.126	0.0117	30.265278	-98.255836	Cricetidae	0.04370656191547444	0.07035
Onychomys	0.126	0.0117	34.883331	-106.883331	Cricetidae	0.04288622349599283	0.07035
Onychomys	1.8	0.3	34.0	-99.800003	Cricetidae	1.1607080446624294	1.287
Onychomys	1.8	0.3	37.044701	-100.477097	Cricetidae	0.4421205982384214	0.4515
Onychomys	1.8	0.3	37.044701	-100.477097	Cricetidae	1.3448056929249834	1.287
Onychomys	1.8	0.3	40.200001	-98.099998	Cricetidae	1.7984937833140984	1.287
Onychomys	6.8	5.9	39.154722	-101.509722	Muridae	6.598459161982088	6.2895
Onychomys	6.7	5.9	39.154722	-101.5097	Muridae	6.362842380563916	6.2895
Onychomys	2.5	1.9	32.113609999999994	-109.92111	Muridae	2.101653160232829	2.19
Onychomys	2.5	1.9	39.055833	-95.689444	Muridae	2.2120512100316927	2.19
Onychomys	4.9	1.8	32.694	-109.449997	Cricetidae	3.988926386255285	4.4665
Onychomys	2.5	1.9	39.92361	-97.82139	Muridae	2.4613182997254346	2.19
Onychomys	4.9	1.8	37.200001	-100.300003	Cricetidae	3.316093128018931	3.09
Onychomys	0.126	0.0117	37.200001	-100.300003	Cricetidae	0.02656708091099436	0.07035
Onychomys	4.9	1.8	39.900002	-97.699997	Cricetidae	3.1446726307057036	3.09
Onychomys	1.8	0.3	45.433334	-99.866669	Cricetidae	1.0928266943407032	1.287
Onychomys	1.8	0.3	33.799999	-99.699997	Cricetidae	1.3405711168116676	1.287
Onychomys	4.9	1.8	32.0	-110.199997	Cricetidae	2.2758422382807684	2.19
Onychomys	1.8	0.3	33.700001	-101.900002	Cricetidae	1.6949973963327165	1.287
Onychomys	1.8	0.3	33.799999	-99.699997	Cricetidae	0.6882904495983012	0.4515
Onychomys	2.5	1.9	33.448457	-112.073844	Muridae	2.469445296154257	2.19
Onychomys	4.9	1.8	32.0	-110.199997	Cricetidae	2.000903546728068	2.19
Onychomys	1.8	0.3	40.200001	-99.400002	Cricetidae	0.4275560065140471	0.4515
Onychomys	0.0117	0.0	31.183332	-104.199997	Cricetidae	0.006989851825531422	0.006200000000000001
Onychomys	0.126	0.0117	34.883331	-106.883331	Cricetidae	0.1106706597926757	0.07035
Onychomys	1.8	0.3	33.900002	-117.0	Cricetidae	0.7065610355164409	0.4515
Onychomys	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.07691375696514552	0.07035
Onychomys	1.8	0.3	33.900002	-117.0	Cricetidae	1.7540446839694557	1.287
