species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Perognathus	15.9	14.8	45.666667	-111.3	Heteromyidae	14.880274670590198	14.895
Perognathus	15.97	13.6	45.926109	-111.294724	Heteromyidae	15.67454445855108	14.895
Perognathus	16.0	14.8	45.666667	-111.3	Heteromyidae	15.601322218501348	14.895
Perognathus	15.97	13.6	42.900002	-98.800003	Heteromyidae	15.743481844917927	14.895
Perognathus	14.8	12.5	42.784444	-100.035278	Heteromyidae	12.854043676539929	12.725000000000001
Perognathus	15.97	13.6	43.099998	-98.300003	Heteromyidae	15.402620003388426	14.895
Perognathus	15.97	13.6	42.700001	-100.0	Heteromyidae	13.85132452274267	14.895
Perognathus	15.97	13.6	42.783333	-100.033333	Heteromyidae	15.245943689809385	14.895
Perognathus	13.6	12.5	42.826667	-97.63639	Heteromyidae	13.19471713190256	12.725000000000001
Perognathus	14.0	13.6	42.784444	-100.0353	Heteromyidae	13.652737808213267	12.725000000000001
Perognathus	14.8	12.5	42.826667	-97.636389	Heteromyidae	12.802721393487005	12.725000000000001
Perognathus	14.0	13.6	42.800556	-100.0525	Heteromyidae	13.81929207111445	12.725000000000001
Perognathus	13.6	12.5	43.493056	-99.27778	Heteromyidae	13.056618842504434	12.725000000000001
Perognathus	15.97	13.6	41.5	-103.800003	Heteromyidae	15.266469652604805	14.895
Perognathus	13.6	12.5	42.923333	-99.02806	Heteromyidae	12.924166054831481	12.725000000000001
Perognathus	15.97	13.6	42.490002	-98.110001	Heteromyidae	14.150040074129784	14.895
Perognathus	14.0	13.6	41.544444	-103.9378	Heteromyidae	13.600282270814875	12.725000000000001
Perognathus	4.9	1.8	32.716667	-100.916664	Heteromyidae	4.464803394794113	4.4665
Perognathus	4.9	2.5	32.518611	-96.380833	Heteromyidae	4.2429109599256565	4.4665
Perognathus	4.9	1.8	37.099998	-100.900002	Heteromyidae	4.546894165769297	4.4665
Perognathus	13.6	10.3	43.400002	-100.599998	Heteromyidae	13.225775482547615	12.725000000000001
Perognathus	6.8	5.9	39.154722	-101.509722	Heteromyidae	6.616521815876497	6.2895
Perognathus	6.7	5.9	39.154722	-101.5097	Heteromyidae	5.96725081623526	6.2895
Perognathus	0.126	0.0117	31.183332	-104.199997	Heteromyidae	0.10151072615197143	0.07035
Perognathus	0.126	0.0117	31.566668	-108.400002	Heteromyidae	0.06887971574785871	0.07035
Perognathus	0.126	0.0117	34.883331	-106.883331	Heteromyidae	0.1177519757691882	0.07035
Perognathus	0.0117	0.0	31.183332	-104.199997	Heteromyidae	0.010800394705432571	0.00995
Perognathus	11.2	8.0	35.40277800000001	-117.9492	Heteromyidae	10.952280634390075	9.438
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	15.544325972473185	14.895
Perognathus	13.6	10.3	34.299999	-119.0	Heteromyidae	11.03536791837067	9.438
Perognathus	11.5	10.9	34.801944	-119.3044	Heteromyidae	11.197734161976797	9.438
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	15.122890165671926	14.895
Perognathus	11.2	9.0	35.40277800000001	-117.9492	Heteromyidae	9.245749971366171	9.438
Perognathus	15.9	15.2	34.315	-117.4642	Heteromyidae	15.354739141620472	14.895
Perognathus	12.4	12.2	35.393889	-117.9444	Heteromyidae	12.274627618803985	12.725000000000001
Perognathus	18.5	17.8	34.638611	-115.0736	Heteromyidae	18.019528134260668	18.205000000000002
Perognathus	11.2	8.0	35.40277800000001	-117.9492	Heteromyidae	10.129169322702722	9.438
Perognathus	17.3	16.0	34.312778	-117.4697	Heteromyidae	17.26962690179917	18.205000000000002
Perognathus	14.0	13.4	35.048611	-117.0747	Heteromyidae	13.517988806722446	12.725000000000001
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.978280916939216	14.895
Perognathus	11.2	8.0	35.400278	-117.9836	Heteromyidae	10.621217244661725	9.438
Perognathus	12.4	11.5	34.844444	-119.3308	Heteromyidae	11.528818400217464	9.438
Perognathus	17.3	16.0	34.312778	-117.4697	Heteromyidae	17.11188327034423	18.205000000000002
Perognathus	15.97	13.6	42.799999	-100.800003	Heteromyidae	14.95817605215304	14.895
Perognathus	16.2	16.0	34.315	-117.4642	Heteromyidae	16.163782237269064	18.205000000000002
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.568427174038485	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.07475840521026	14.895
Perognathus	12.4	11.2	35.38	-117.9889	Heteromyidae	12.025510566126892	12.725000000000001
Perognathus	11.2	9.0	35.40277800000001	-117.9492	Heteromyidae	10.078211237014102	9.438
Perognathus	12.4	11.5	34.814721999999996	-119.2844	Heteromyidae	12.137951355684054	12.725000000000001
Perognathus	15.97	13.6	34.299999	-119.0	Heteromyidae	14.197097536090615	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.315749659548741	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	15.30136001544724	14.895
Perognathus	15.0	14.8	35.056111	-117.0814	Heteromyidae	14.873432757825125	14.895
Perognathus	12.4	9.0	35.40277800000001	-117.9492	Heteromyidae	9.75759402918684	9.438
Perognathus	13.4	12.5	35.054167	-117.0842	Heteromyidae	12.615903053046999	12.725000000000001
Perognathus	12.4	8.0	35.40277800000001	-117.9492	Heteromyidae	9.834215760281298	9.438
Perognathus	14.8	12.5	34.3225	-117.4872	Heteromyidae	13.496407925613218	12.725000000000001
Perognathus	14.8	14.0	35.046389000000005	-117.0814	Heteromyidae	14.329736274310525	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	13.84593569565356	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.146811420246214	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	13.826736903968866	14.895
Perognathus	12.4	11.2	35.40277800000001	-117.9492	Heteromyidae	11.510413985558165	9.438
Perognathus	13.6	10.3	34.299999	-119.0	Heteromyidae	13.149090298871947	12.725000000000001
Perognathus	14.8	14.0	35.033611	-117.0481	Heteromyidae	14.132290486923681	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	13.778450341549355	12.725000000000001
Perognathus	14.0	13.6	42.781944	-100.0792	Heteromyidae	13.799886135054955	12.725000000000001
Perognathus	11.0	9.3	35.386389	-118.0069	Heteromyidae	10.73479050278781	9.438
Perognathus	11.2	8.0	35.40277800000001	-117.9492	Heteromyidae	9.058996875301686	9.438
Perognathus	7.5	6.7	34.326111	-117.4703	Heteromyidae	6.72016083126812	6.2895
Perognathus	14.0	13.4	35.053333	-117.0811	Heteromyidae	13.44084847412983	12.725000000000001
Perognathus	11.0	9.3	35.379444	-118.0011	Heteromyidae	9.559175426319673	9.438
Perognathus	17.3	16.0	34.312778	-117.4697	Heteromyidae	16.2460980898017	18.205000000000002
Perognathus	14.8	12.5	43.76166667	-110.5552778	Heteromyidae	13.46358641461828	12.725000000000001
Perognathus	17.3	16.0	34.312778	-117.4697	Heteromyidae	16.41657414145664	18.205000000000002
Perognathus	15.3	14.8	34.765278	-119.2453	Heteromyidae	14.953713879324985	14.895
Perognathus	9.0	7.6	35.45361099999999	-118.100278	Heteromyidae	8.846639022955504	9.438
Perognathus	14.0	13.4	35.048889	-117.075	Heteromyidae	13.939894164097623	14.895
Perognathus	15.97	13.6	43.900002	-110.800003	Heteromyidae	15.894817259340234	14.895
Perognathus	14.0	13.4	35.0525	-117.0794	Heteromyidae	13.825538589733483	14.895
Perognathus	13.6	12.5	42.837778	-100.5197	Heteromyidae	12.572396891600425	12.725000000000001
Perognathus	17.3	16.0	34.312778	-117.4697	Heteromyidae	16.042919069634227	18.205000000000002
Perognathus	14.8	14.0	35.045	-117.0708	Heteromyidae	14.51140223849746	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.144121273370724	14.895
Perognathus	14.8	12.5	43.761666999999996	-110.5553	Heteromyidae	13.786804004557052	12.725000000000001
Perognathus	9.3	8.5	35.388611	-118.0092	Heteromyidae	8.50355501263077	9.438
Perognathus	12.4	8.0	35.40277800000001	-117.9492	Heteromyidae	8.745257355355523	9.438
Perognathus	14.8	12.5	43.930278	-110.5606	Heteromyidae	13.323441309293107	12.725000000000001
Perognathus	11.2	8.0	35.40277800000001	-117.9492	Heteromyidae	9.2477029078087	9.438
Perognathus	12.4	8.0	35.40277800000001	-117.9492	Heteromyidae	12.2688757518015	12.725000000000001
Perognathus	11.2	9.0	35.40277800000001	-117.9492	Heteromyidae	9.728443780711883	9.438
Perognathus	13.6	10.3	35.299999	-118.5	Heteromyidae	13.246115274797564	12.725000000000001
Perognathus	16.0	14.8	35.0975	-116.62	Heteromyidae	15.529511917591114	14.895
Perognathus	11.0	9.3	35.388889	-117.9947	Heteromyidae	9.382534976299358	9.438
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	15.548758370217216	14.895
Perognathus	15.97	13.6	34.799999	-117.0	Heteromyidae	14.649819378786935	14.895
Perognathus	14.8	12.5	35.031944	-117.04	Heteromyidae	13.790120046316002	12.725000000000001
Perognathus	12.5	12.1	35.393889	-117.944444	Heteromyidae	12.328590500067847	12.725000000000001
