species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Peromyscus	9.0	7.6	41.925	-118.83611100000002	Muridae	8.299658028986428	9.438
Peromyscus	6.7	5.9	43.875278	-117.4464	Muridae	6.427465027312218	6.2895
Peromyscus	9.0	7.6	38.830278	-119.040278	Muridae	7.909552723852831	9.438
Peromyscus	6.7	5.9	45.596389	-118.7847	Muridae	6.189850837712232	6.2895
Peromyscus	7.5	7.1	43.747222	-118.4481	Muridae	7.191305074290128	6.2895
Peromyscus	10.1	9.0	40.783333	-116.000833	Muridae	9.327168716856411	9.438
Peromyscus	9.3	7.8	38.806944	-119.2181	Muridae	9.220406439357241	9.438
Peromyscus	12.5	9.0	41.5	-114.7667	Muridae	11.481849820493036	9.438
Peromyscus	7.6	6.8	43.746667	-118.419167	Muridae	7.032015060958344	6.2895
Peromyscus	8.0	7.5	41.93333300000001	-118.9	Muridae	7.517354009858334	9.438
Peromyscus	6.8	5.9	44.930833	-123.028889	Muridae	6.128657883116111	6.2895
Peromyscus	4.9	1.8	33.900002	-117.0	Cricetidae	2.265362664784751	2.19
Peromyscus	2.5	1.9	37.16667	-122.08333	Muridae	2.1124447241779025	2.19
Peromyscus	4.9	1.8	37.200001	-100.300003	Cricetidae	2.9327495125529373	3.09
Peromyscus	4.9	1.8	33.900002	-117.0	Cricetidae	4.704838584212553	4.4665
Peromyscus	4.9	1.8	37.200001	-100.300003	Cricetidae	3.0613309230538723	3.09
Peromyscus	4.9	2.5	39.055833	-95.689444	Muridae	2.6826243836672767	3.09
Peromyscus	4.9	2.5	38.555605	-121.468926	Muridae	3.5938292497388336	3.09
Peromyscus	1.8	0.3	37.200001	-100.300003	Cricetidae	1.637810648883156	1.287
Peromyscus	1.8	0.3	37.200001	-100.300003	Cricetidae	0.7974006301247061	1.287
Peromyscus	1.8	0.3	36.799999	-100.5	Cricetidae	0.8371053061715721	1.287
Peromyscus	0.126	0.0117	32.366669	-104.449997	Cricetidae	0.055658993032668906	0.07035
Peromyscus	0.126	0.0117	31.566668	-108.400002	Cricetidae	0.06833211690430034	0.07035
Peromyscus	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.09024018402065764	0.07035
Peromyscus	0.126	0.0117	29.583332	-98.400002	Cricetidae	0.04586538385883734	0.07035
Peromyscus	4.9	1.8	32.694	-109.449997	Cricetidae	2.13718854622372	2.19
Peromyscus	4.9	1.8	32.0	-110.199997	Cricetidae	3.27209351043302	3.09
Peromyscus	4.9	1.8	32.0	-110.199997	Cricetidae	2.399604935666753	2.19
Peromyscus	1.8	0.3	32.0	-110.199997	Cricetidae	1.2411790423504163	1.287
Peromyscus	4.9	1.8	32.694	-109.449997	Cricetidae	3.022315529727304	3.09
