species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Platanaceae	1.81	0.01	34.4	-119.516667	Eudi_Non_Ro-Aster	0.3281207360684855	0.4515
Platanaceae	23.03	20.43	75.411111	-89.430278	Eudi_Non_Ro-Aster	22.891535342008147	21.735
Platanaceae	16.3	13.6	38.493889	-118.897222	Eudi_Non_Ro-Aster	15.66381916778617	14.895
Platanaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Platanaceae	23.03	23.03	44.866667	-113.016667	Eudi_Non_Ro-Aster	23.03	25.425
Platanaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	16.796750898819955	18.205000000000002
Platanaceae	20.43	15.97	39.25	-117.88333300000001	Eudi_Non_Ro-Aster	17.17167745165764	18.205000000000002
Platanaceae	9.9	9.9	40.454444	-85.791944	Eudi_Non_Ro-Aster	9.9	9.438
Platanaceae	13.65	11.61	39.583333	-119.36666699999999	Eudi_Non_Ro-Aster	13.591486087802448	12.725000000000001
Platanaceae	15.97	11.61	39.9	-119.55	Eudi_Non_Ro-Aster	12.315647607592854	12.725000000000001
Platanaceae	15.97	11.61	36.139722	-120.359167	Eudi_Non_Ro-Aster	14.985257097063682	14.895
Platanaceae	15.97	11.61	36.139722	-120.359167	Eudi_Non_Ro-Aster	15.770597282019635	14.895
Platanaceae	19.1	17.38	42.83	-124.55	Eudi_Non_Ro-Aster	18.41165747800443	18.205000000000002
Platanaceae	27.82	23.03	44.77	-122.62	Eudi_Non_Ro-Aster	26.8029145994218	25.425
