species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Platygonus	2.5	0.85	28.133333	-81.63166700000002	Tayassuidae	0.904043317863812	1.287
Platygonus	4.9	1.8	37.200001	-100.300003	Tayassuidae	3.598903200541333	3.09
Platygonus	4.9	1.8	31.5	-105.199997	Tayassuidae	2.6931605382248414	3.09
Platygonus	2.5	1.9	30.23	-82.63	Tayassuidae	2.4168967746235586	2.19
Platygonus	4.9	2.5	39.055833	-95.689444	Tayassuidae	4.473862002420131	4.4665
Platygonus	4.9	1.8	31.5	-105.199997	Tayassuidae	2.87091689772138	3.09
Platygonus	4.9	1.8	32.716667	-100.916664	Tayassuidae	2.108248563821765	2.19
Platygonus	1.8	0.3	50.700001	-107.900002	Tayassuidae	1.0240887679323705	1.287
Platygonus	4.9	2.5	39.055833	-95.689444	Tayassuidae	3.1763408549977057	3.09
Platygonus	4.9	2.5	35.66722199999999	-105.964444	Tayassuidae	4.64459762278808	4.4665
Platygonus	4.9	1.8	33.700001	-101.099998	Tayassuidae	2.9658177262708367	3.09
Platygonus	4.9	1.8	37.200001	-100.300003	Tayassuidae	2.8681946545814845	3.09
Platygonus	4.9	1.8	31.5	-105.199997	Tayassuidae	4.391577190764274	4.4665
Platygonus	2.5	1.9	35.66722199999999	-105.964444	Tayassuidae	2.4779621940522207	2.19
Platygonus	4.9	1.8	37.200001	-100.300003	Tayassuidae	2.683220465897364	3.09
Platygonus	4.9	2.5	35.66722199999999	-105.964444	Tayassuidae	4.446865148728556	4.4665
Platygonus	4.9	2.5	35.66722199999999	-105.964444	Tayassuidae	2.6030052167820448	3.09
Platygonus	4.9	1.8	33.700001	-101.099998	Tayassuidae	3.977021504464931	4.4665
Platygonus	4.9	1.8	26.5	-81.800003	Tayassuidae	3.079687178583331	3.09
Platygonus	4.9	1.8	27.299999	-80.800003	Tayassuidae	3.9755781488524433	4.4665
Platygonus	2.5	1.9	35.66722199999999	-105.964444	Tayassuidae	1.9508024381878961	2.19
Platygonus	4.9	1.8	33.700001	-101.099998	Tayassuidae	4.319590526364476	4.4665
Platygonus	4.9	1.8	29.700001	-82.599998	Tayassuidae	2.2870332425143176	2.19
Platygonus	4.9	2.5	39.055833	-95.689444	Tayassuidae	3.8889055468279055	4.4665
Platygonus	4.9	1.8	29.85	-82.599998	Tayassuidae	4.448206055921027	4.4665
Platygonus	4.9	1.8	34.883331	-101.633331	Tayassuidae	3.696910265164208	4.4665
Platygonus	4.9	1.8	31.5	-105.199997	Tayassuidae	2.3957265133046928	2.19
