species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Procyon	0.3	0.012	27.799999	-82.800003	Procyonidae	0.17481214422191646	0.4515
Procyon	0.3	0.012	29.1	-82.300003	Procyonidae	0.0710975618099799	0.07035
Procyon	0.126	0.0117	25.700001	-80.400002	Procyonidae	0.12472434399665032	0.07035
Procyon	6.8	4.9	33.448457	-112.073844	Procyonidae	6.7849631865040445	6.2895
Procyon	0.126	0.0117	27.799999	-82.699997	Procyonidae	0.054796632087320316	0.07035
Procyon	0.126	0.0117	27.17	-81.900002	Procyonidae	0.014175263090728554	0.07035
Procyon	0.126	0.0117	28.083332	-80.599998	Procyonidae	0.035707195436116716	0.07035
Procyon	0.126	0.0117	27.799999	-82.699997	Procyonidae	0.07418036841885002	0.07035
Procyon	0.0117	0.0	30.818056	-82.39166999999998	Procyonidae	0.006424253251071875	0.006200000000000001
Procyon	2.5	1.9	33.448457	-112.073844	Procyonidae	2.1599831148879605	2.19
Procyon	0.126	0.0117	29.407499	-82.476387	Procyonidae	0.11335475825387716	0.07035
Procyon	0.126	0.0117	40.784	-122.281998	Procyonidae	0.11161150695128	0.07035
Procyon	1.8	0.3	28.799168	-82.070274	Procyonidae	1.7634027350193888	1.287
Procyon	0.126	0.0117	27.638332	-80.397499	Procyonidae	0.12343442420165995	0.07035
Procyon	1.8	0.3	36.0	-93.199997	Procyonidae	1.0712198690711523	1.287
Procyon	0.126	0.0117	32.0	-81.099998	Procyonidae	0.08666939317101137	0.07035
Procyon	0.126	0.0	37.365002	-80.533333	Procyonidae	0.008965795634239465	0.00995
Procyon	2.588	0.0117	34.200001	-84.800003	Procyonidae	1.510823633364414	1.287
Procyon	0.0117	0.0	38.697224	-78.46333299999998	Procyonidae	0.004195013386376211	0.0021
Procyon	0.126	0.0117	32.714721999999995	-96.707497	Procyonidae	0.028678010300073192	0.07035
Procyon	0.126	0.0	37.98722100000001	-79.830833	Procyonidae	0.10719543510292064	0.07035
Procyon	0.126	0.0117	38.602779	-79.368889	Procyonidae	0.1125481113005572	0.07035
Procyon	0.126	0.0117	28.799999	-82.199997	Procyonidae	0.07178646081989205	0.07035
Procyon	1.8	0.3	38.700001	-79.300003	Procyonidae	0.6098473845342616	0.4515
Procyon	0.126	0.0	38.69389	-78.655556	Procyonidae	0.04059082054738557	0.07035
Procyon	0.126	0.0	37.616669	-91.833336	Procyonidae	0.018831159601615296	0.07035
Procyon	0.126	0.0117	40.916668	-122.23333	Procyonidae	0.038504821479089006	0.07035
Procyon	2.588	0.0117	36.150002	-84.099998	Procyonidae	1.4035301777925024	1.287
Procyon	2.588	0.0117	36.266666	-83.13333100000001	Procyonidae	2.306568705458464	2.19
Procyon	0.126	0.0	37.616669	-91.833336	Procyonidae	0.06572581330282459	0.07035
Procyon	0.126	0.0	36.780556	-81.92083000000002	Procyonidae	0.12148266592965085	0.07035
Procyon	0.126	0.0117	33.066666	-96.966667	Procyonidae	0.08742981581503935	0.07035
Procyon	0.0117	0.0	38.628056	-78.41471899999998	Procyonidae	0.0022053896511569256	0.0021
Procyon	0.126	0.0	37.616669	-91.833336	Procyonidae	0.10476455329530812	0.07035
Procyon	0.126	0.0117	50.099998	-110.699997	Procyonidae	0.10675601519162416	0.07035
Procyon	0.126	0.0	37.616669	-91.833336	Procyonidae	0.0044154357361885785	0.006200000000000001
Procyon	0.126	0.0	37.616669	-91.833336	Procyonidae	0.008774167332596828	0.00995
Procyon	0.126	0.0	37.616669	-91.833336	Procyonidae	0.019158881566094587	0.07035
Procyon	0.0117	0.0	30.35833400000001	-98.099998	Procyonidae	0.0018855765646877266	0.0021
Procyon	0.126	0.0117	38.357777	-79.083054	Procyonidae	0.022127235431697943	0.07035
Procyon	1.8	0.3	27.700001	-82.5	Procyonidae	0.7958081615433307	1.287
Procyon	2.588	0.0117	32.559166	-80.292503	Procyonidae	0.11399137363854707	0.07035
Procyon	1.8	0.3	38.700001	-98.099998	Procyonidae	1.74930086830171	1.287
Procyon	0.126	0.0117	37.097298	-81.33609799999998	Procyonidae	0.05304873158797918	0.07035
Procyon	4.9	1.8	27.35	-82.370003	Procyonidae	4.2600882269158165	4.4665
Procyon	0.126	0.0117	38.476665	-78.892776	Procyonidae	0.06220237063923486	0.07035
Procyon	2.588	0.0	38.458332	-79.898888	Procyonidae	0.9897851935311938	1.287
Procyon	0.126	0.0	37.334721	-80.67916899999999	Procyonidae	0.033391210029038235	0.07035
Procyon	0.126	0.0117	42.799999	-112.900002	Procyonidae	0.10656484610739438	0.07035
