species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Reithrodontomys	1.8	0.3	33.700001	-101.900002	Cricetidae	1.086625165849071	1.287
Reithrodontomys	1.8	0.3	34.0	-99.800003	Cricetidae	0.5877383423987541	0.4515
Reithrodontomys	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.10734300685947272	0.07035
Reithrodontomys	2.5	1.9	33.448457	-112.073844	Muridae	2.4265696534957577	2.19
Reithrodontomys	4.9	1.8	32.694	-109.449997	Cricetidae	3.9156143328868938	4.4665
Reithrodontomys	2.5	1.9	28.133333	-81.63166700000002	Muridae	1.945306156337711	2.19
Reithrodontomys	1.8	0.3	38.700001	-98.099998	Cricetidae	1.3105614128403813	1.287
Reithrodontomys	1.8	0.3	28.799168	-82.070274	Cricetidae	1.0787861697569183	1.287
Reithrodontomys	0.3	0.012	28.799999	-82.199997	Cricetidae	0.09789802702626188	0.07035
Reithrodontomys	1.8	0.3	29.011944	-82.668053	Cricetidae	0.7710288633257105	0.4515
Reithrodontomys	0.126	0.0117	27.638332	-80.397499	Cricetidae	0.027175962168958682	0.07035
Reithrodontomys	0.126	0.0117	29.799999	-82.099998	Cricetidae	0.01396154434337903	0.07035
Reithrodontomys	0.126	0.0117	29.799999	-82.099998	Cricetidae	0.06959062913425032	0.07035
Reithrodontomys	0.126	0.0117	29.6	-82.416664	Cricetidae	0.029978304807693014	0.07035
Reithrodontomys	1.8	0.3	37.200001	-100.300003	Cricetidae	1.0123866735158542	1.287
Reithrodontomys	1.8	0.3	37.044701	-100.477097	Cricetidae	1.2484902200559285	1.287
Reithrodontomys	1.8	0.3	37.044701	-100.495201	Cricetidae	0.9895149901351601	1.287
Reithrodontomys	1.8	0.3	34.0	-99.800003	Cricetidae	1.095369666247107	1.287
Reithrodontomys	1.8	0.3	37.044701	-100.477097	Cricetidae	1.6665359189006939	1.287
Reithrodontomys	1.8	0.3	36.5	-107.0	Cricetidae	0.3500939578980292	0.4515
Reithrodontomys	0.0117	0.0	31.183332	-104.199997	Cricetidae	0.0020170625707528664	0.0021
Reithrodontomys	0.126	0.0117	31.566668	-108.400002	Cricetidae	0.01644657600654536	0.07035
Reithrodontomys	1.8	0.3	36.5	-107.0	Cricetidae	0.6133577643045746	0.4515
Reithrodontomys	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.06972043818673543	0.07035
Reithrodontomys	1.8	0.3	36.5	-107.0	Cricetidae	1.4203436003311387	1.287
Reithrodontomys	1.8	0.3	38.299999	-97.599998	Cricetidae	1.4171159238597246	1.287
Reithrodontomys	1.8	0.3	34.0	-99.800003	Cricetidae	1.054365249397825	1.287
Reithrodontomys	1.8	0.3	34.0	-99.800003	Cricetidae	1.0767323362546606	1.287
Reithrodontomys	0.126	0.0117	37.200001	-100.300003	Cricetidae	0.06152997120234306	0.07035
Reithrodontomys	0.126	0.0	32.549999	-110.650002	Cricetidae	0.02701930353135676	0.07035
Reithrodontomys	0.126	0.0117	31.183332	-104.199997	Cricetidae	0.10191280738796912	0.07035
Reithrodontomys	0.0117	0.0	31.183332	-104.199997	Cricetidae	0.002547851963326051	0.0021
Reithrodontomys	2.5	0.85	39.055833	-95.689444	Muridae	1.4655615773076995	1.287
Reithrodontomys	1.8	0.3	33.799999	-99.699997	Cricetidae	1.3466880271453403	1.287
Reithrodontomys	2.5	0.85	39.055833	-95.689444	Muridae	1.2892106593741082	1.287
Reithrodontomys	1.8	0.3	37.200001	-100.300003	Cricetidae	1.5436480539410258	1.287
Reithrodontomys	1.8	0.3	34.5	-101.699997	Cricetidae	1.1729564641265595	1.287
Reithrodontomys	1.8	0.3	45.433334	-99.866669	Cricetidae	1.2640158083725404	1.287
Reithrodontomys	1.8	0.3	35.0	-101.900002	Cricetidae	1.2942214876001183	1.287
Reithrodontomys	4.9	1.8	39.900002	-97.699997	Cricetidae	2.040433672605311	2.19
Reithrodontomys	4.9	1.8	37.200001	-100.300003	Cricetidae	4.024487031071458	4.4665
Reithrodontomys	2.5	1.9	39.92361	-97.82139	Muridae	2.0009272899522768	2.19
Reithrodontomys	2.5	1.9	39.055833	-95.689444	Muridae	2.3023304758424312	2.19
Reithrodontomys	4.9	1.8	39.900002	-97.699997	Cricetidae	2.236266137491333	2.19
Reithrodontomys	4.9	1.8	42.0	-101.0	Cricetidae	2.9672185554398647	3.09
Reithrodontomys	4.9	2.5	39.055833	-95.689444	Muridae	2.5641306464676927	2.19
Reithrodontomys	2.5	1.9	33.448457	-112.073844	Muridae	2.203581470734396	2.19
Reithrodontomys	4.9	2.5	33.101667	-109.268611	Muridae	3.630149636401725	4.4665
Reithrodontomys	4.9	1.8	32.700001	-109.099998	Cricetidae	3.4969781168365217	3.09
Reithrodontomys	4.9	1.8	37.200001	-100.300003	Cricetidae	3.7050834725244055	4.4665
Reithrodontomys	4.9	2.5	32.518611	-96.380833	Muridae	3.628823145495186	4.4665
Reithrodontomys	4.9	1.8	33.0	-109.599998	Cricetidae	2.8015741167569006	3.09
Reithrodontomys	4.9	1.8	32.716667	-100.916664	Cricetidae	4.276685891244004	4.4665
Reithrodontomys	4.9	1.8	29.0	-82.68	Cricetidae	2.542618305786929	2.19
Reithrodontomys	2.5	1.9	39.055833	-95.689444	Muridae	1.9770150899808367	2.19
Reithrodontomys	4.9	2.5	34.56167	-112.38278	Muridae	3.1365664058307736	3.09
Reithrodontomys	1.8	0.3	29.011944	-82.668053	Cricetidae	1.119131773421313	1.287
Reithrodontomys	4.9	2.5	39.055833	-95.689444	Muridae	4.602639693495215	4.4665
Reithrodontomys	4.9	0.3	29.799999	-82.099998	Cricetidae	4.192462842847737	4.4665
Reithrodontomys	4.9	1.8	34.771111	-111.853058	Cricetidae	2.6074072578474268	3.09
Reithrodontomys	4.9	1.8	37.200001	-100.300003	Cricetidae	2.722119184341211	3.09
Reithrodontomys	2.5	1.9	28.133333	-81.63166700000002	Muridae	2.0489093642203606	2.19
