species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Rhamnaceaee	5.33	1.81	39.309722	-119.64861100000002	Rosids	2.6362516196908063	3.09
Rhamnaceaee	5.33	1.81	39.309722	-119.64861100000002	Rosids	3.9113476792347233	4.4665
Rhamnaceaee	5.33	1.81	39.309722	-119.64861100000002	Rosids	2.770419979735143	3.09
Rhamnaceaee	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	11.1294556382606	9.438
Rhamnaceaee	20.43	15.97	39.25	-117.88333300000001	Rosids	17.956063710991074	18.205000000000002
Rhamnaceaee	16.3	13.6	38.493889	-118.897222	Rosids	15.29655356095444	14.895
Rhamnaceaee	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Rhamnaceaee	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Rhamnaceaee	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Rhamnaceaee	20.43	15.97	39.25	-117.88333300000001	Rosids	16.324703706473166	18.205000000000002
Rhamnaceaee	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.549943056509127	12.725000000000001
Rhamnaceaee	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.534934843964276	12.725000000000001
Rhamnaceaee	13.65	11.61	39.583333	-119.35	Rosids	12.897004843159182	12.725000000000001
Rhamnaceaee	13.65	11.61	39.583333	-119.35	Rosids	13.368463120082312	12.725000000000001
Rhamnaceaee	13.65	11.61	39.583333	-119.35	Rosids	12.539069381637082	12.725000000000001
Rhamnaceaee	5.33	1.81	39.518333	-119.987778	Rosids	3.6013319645079984	4.4665
Rhamnaceaee	0.4	0.4	27.63833300000001	-80.3975	Rosids	0.4	0.4515
Rhamnaceaee	19.1	17.38	42.83	-124.55	Rosids	17.922337182849613	18.205000000000002
