species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Salicaceae	13.6	10.3	38.493889	-118.897222	Rosids	11.959790549271641	12.725000000000001
Salicaceae	13.6	10.3	38.493889	-118.897222	Rosids	10.669251247995533	9.438
Salicaceae	13.6	10.3	38.493889	-118.897222	Rosids	12.337557639054179	12.725000000000001
Salicaceae	13.6	10.3	38.493889	-118.897222	Rosids	13.310005525229409	12.725000000000001
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	18.013326836264675	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	17.399911751975484	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	18.255426664997707	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.615613804197313	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.372468337212524	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.255454355501527	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.2364790011905	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.444477994545952	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	18.937058612229357	18.205000000000002
Salicaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	19.216850877708033	18.205000000000002
Salicaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	4.881283305356684	4.4665
Salicaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	3.4749703655406448	3.09
Salicaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	2.6343499303824034	3.09
Salicaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	2.156777462337521	2.19
Salicaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	2.5316945477709387	2.19
Salicaceae	5.33	1.81	39.309722	-119.64861100000002	Rosids	4.625920493608626	4.4665
Salicaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	10.392348140713707	9.438
Salicaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	13.149851212921087	12.725000000000001
Salicaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	11.755673163127012	12.725000000000001
Salicaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	12.039775137785295	12.725000000000001
Salicaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	12.873408018041511	12.725000000000001
Salicaceae	13.6	10.3	39.785833000000004	-118.93638899999999	Rosids	13.095716017798386	12.725000000000001
Salicaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	17.77726346595115	18.205000000000002
Salicaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	18.874792563211766	18.205000000000002
Salicaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	17.915845404147014	18.205000000000002
Salicaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	17.94974752893086	18.205000000000002
Salicaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	20.40120468823453	18.205000000000002
