species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Sapindaceae	13.6	10.3	38.493889	-118.897222	Rosids	12.362225127509507	12.725000000000001
Sapindaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.27619970055947	18.205000000000002
Sapindaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	20.01086013185641	18.205000000000002
Sapindaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	17.344665096124196	18.205000000000002
Sapindaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	18.77853869357715	18.205000000000002
Sapindaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	16.235607824256977	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	17.62215371558127	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	16.029566436031764	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	17.478174069895	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	20.31229729389945	18.205000000000002
Sapindaceae	23.03	20.43	75.411111	-89.430278	Rosids	21.76852705536304	21.735
Sapindaceae	0.126	0.01	42.385556	-84.748333	Rosids	0.02289978610389646	0.07035
Sapindaceae	16.3	13.6	38.493889	-118.897222	Rosids	14.034264358172546	14.895
Sapindaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Sapindaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Sapindaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Sapindaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Sapindaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	16.910468921648132	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	20.12831124519869	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	18.22744227032872	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	16.140822197826957	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	18.782106952257926	18.205000000000002
Sapindaceae	20.43	15.97	39.25	-117.88333300000001	Rosids	17.11714413444871	18.205000000000002
Sapindaceae	13.6	10.3	44.95	-117.5	Rosids	13.396017385452248	12.725000000000001
Sapindaceae	9.9	9.9	40.454444	-85.791944	Rosids	9.9	9.438
Sapindaceae	0.126	0.01	42.12	-85.906667	Rosids	0.03926680827847824	0.07035
Sapindaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	11.801478120786312	12.725000000000001
Sapindaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	13.114641962021219	12.725000000000001
Sapindaceae	13.65	11.61	39.583333	-119.35	Rosids	13.358952033033251	12.725000000000001
Sapindaceae	13.65	11.61	39.583333	-119.35	Rosids	12.955840064484539	12.725000000000001
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	15.026339073311668	14.895
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	15.73599558302768	14.895
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	14.815466106055155	14.895
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	15.603030329123795	14.895
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	15.867012678109207	14.895
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	12.479661541319	12.725000000000001
Sapindaceae	15.97	11.61	39.9	-119.55	Rosids	13.750948897686154	12.725000000000001
Sapindaceae	0.126	0.01	42.548611	-84.24972199999998	Rosids	0.12468964064286026	0.07035
Sapindaceae	0.4	0.4	27.63833300000001	-80.3975	Rosids	0.4	0.4515
Sapindaceae	27.82	23.03	44.77	-122.62	Rosids	24.31287340829472	25.425
