species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Scalopus	0.126	0.0117	29.6	-82.416664	Talpidae	0.11944321063455685	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.039706982366681416	0.07035
Scalopus	7.5	6.7	42.198056	-103.7808	Talpidae	7.277874769246643	9.438
Scalopus	0.126	0.0117	29.799999	-82.099998	Talpidae	0.03853011242622662	0.07035
Scalopus	0.126	0.0117	29.799999	-82.099998	Talpidae	0.033914229337487216	0.07035
Scalopus	0.126	0.0117	25.700001	-80.400002	Talpidae	0.031459696476098635	0.07035
Scalopus	0.126	0.0117	28.083332	-80.599998	Talpidae	0.06180505797880951	0.07035
Scalopus	0.126	0.0	37.98722100000001	-79.830833	Talpidae	0.11475878389115406	0.07035
Scalopus	1.8	0.3	38.700001	-98.099998	Talpidae	0.7082391150852143	0.4515
Scalopus	4.9	0.3	29.690001	-82.559998	Talpidae	2.4977977221620917	2.19
Scalopus	1.8	0.3	36.0	-93.199997	Talpidae	1.6886497583217115	1.287
Scalopus	4.9	1.8	39.900002	-97.699997	Talpidae	2.8743513423542333	3.09
Scalopus	0.126	0.0	37.952778	-79.76722	Talpidae	0.10205049796485303	0.07035
Scalopus	1.8	0.3	29.011944	-82.668053	Talpidae	1.7682475624560106	1.287
Scalopus	0.126	0.0	36.780556	-81.92083000000002	Talpidae	0.005434591370788377	0.006200000000000001
Scalopus	1.8	0.3	28.799168	-82.070274	Talpidae	1.1144058225201774	1.287
Scalopus	4.9	1.8	29.0	-82.68	Talpidae	3.0142711529430697	3.09
Scalopus	4.9	1.8	29.799999	-82.099998	Talpidae	3.9857015913910288	4.4665
Scalopus	4.9	1.8	39.900002	-97.699997	Talpidae	2.622266669058748	3.09
Scalopus	4.9	1.8	42.700001	-100.0	Talpidae	3.7225851012949422	4.4665
Scalopus	0.126	0.0117	38.086109	-79.656944	Talpidae	0.09146354172318244	0.07035
Scalopus	4.9	0.3	29.799999	-82.099998	Talpidae	4.615073680099683	4.4665
Scalopus	1.8	0.3	29.683332	-82.566666	Talpidae	0.4925212948795353	0.4515
Scalopus	1.8	0.012	39.0	-98.199997	Talpidae	0.2772349761990908	0.4515
Scalopus	0.0117	0.0	36.183334	-86.783333	Talpidae	0.00644821625763604	0.006200000000000001
Scalopus	0.126	0.0	36.183334	-86.783333	Talpidae	0.09390752395828554	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.01447924787989161	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.08431437319215739	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.10707219958156483	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.027812134917911988	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.043620231690847895	0.07035
Scalopus	0.126	0.0117	33.066666	-96.966667	Talpidae	0.06871701858266979	0.07035
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.008948727371778174	0.00995
Scalopus	0.126	0.0	37.616669	-91.833336	Talpidae	0.07706535228881786	0.07035
Scalopus	0.126	0.0117	29.407499	-82.476387	Talpidae	0.014229443785110454	0.07035
Scalopus	1.8	0.3	33.75	-99.5	Talpidae	1.4553821902610478	1.287
Scalopus	1.8	0.3	36.799999	-82.800003	Talpidae	0.3542521747450109	0.4515
Scalopus	0.126	0.0117	29.4	-82.599998	Talpidae	0.034271134366336886	0.07035
Scalopus	0.126	0.0117	37.020557	-82.02417	Talpidae	0.06307146408759684	0.07035
Scalopus	4.9	2.5	40.809868	-96.675345	Talpidae	4.6897756585536445	4.4665
Scalopus	0.126	0.0117	38.332222	-79.570274	Talpidae	0.10147280472994184	0.07035
Scalopus	0.126	0.0117	38.357777	-79.083054	Talpidae	0.1151759225256417	0.07035
Scalopus	0.126	0.0117	28.799999	-82.199997	Talpidae	0.10585791300019667	0.07035
Scalopus	1.8	0.3	27.9	-81.800003	Talpidae	1.099120782547164	1.287
Scalopus	0.3	0.012	29.1	-82.300003	Talpidae	0.204922711140976	0.4515
Scalopus	2.588	0.0117	34.200001	-84.800003	Talpidae	0.8114141853606083	1.287
Scalopus	0.126	0.0117	28.799999	-82.199997	Talpidae	0.0627900483732897	0.07035
Scalopus	1.8	0.3	40.200001	-98.099998	Talpidae	0.6358329234730118	0.4515
Scalopus	0.126	0.0117	30.35833400000001	-98.099998	Talpidae	0.07875967121505227	0.07035
Scalopus	0.126	0.0117	32.714721999999995	-96.707497	Talpidae	0.0458887414092186	0.07035
Scalopus	0.126	0.0117	31.98333400000001	-81.066666	Talpidae	0.09635083492975716	0.07035
Scalopus	2.5	1.9	30.267222	-97.763889	Talpidae	2.3138987791091297	2.19
Scalopus	2.5	1.9	29.61667000000001	-82.36667	Talpidae	2.2900046146877115	2.19
Scalopus	0.126	0.0117	27.638332	-80.397499	Talpidae	0.02193380228189095	0.07035
Scalopus	2.5	1.9	39.92361	-97.82139	Talpidae	2.458755150940462	2.19
Scalopus	0.126	0.0117	29.1	-82.300003	Talpidae	0.01652411644666415	0.07035
Scalopus	5.9	4.9	34.952778	-101.494722	Talpidae	5.80104713482831	6.2895
Scalopus	2.5	0.85	32.16667	-106.8333	Talpidae	0.8901590048513734	1.287
Scalopus	2.5	1.9	29.910577000000004	-95.060882	Talpidae	1.964330351535147	2.19
Scalopus	5.9	5.0	42.821667	-97.85221999999999	Talpidae	5.700427242608197	6.2895
Scalopus	5.9	4.7	42.81583300000001	-97.72528	Talpidae	5.374448525571922	6.2895
Scalopus	5.9	4.9	42.81583300000001	-97.725278	Talpidae	5.78171617431787	6.2895
Scalopus	4.9	2.5	32.518611	-96.380833	Talpidae	4.8502688332351696	4.4665
Scalopus	4.9	2.5	39.055833	-95.689444	Talpidae	2.870970337217721	3.09
Scalopus	4.9	2.5	39.055833	-95.689444	Talpidae	4.0365952307493895	4.4665
Scalopus	4.9	2.5	40.809868	-96.675345	Talpidae	3.04270374026801	3.09
Scalopus	4.9	2.5	39.055833	-95.689444	Talpidae	4.718817363039721	4.4665
Scalopus	4.9	2.5	32.518611	-96.380833	Talpidae	4.087854638978413	4.4665
Scalopus	4.9	2.5	39.055833	-95.689444	Talpidae	2.9377650110418463	3.09
Scalopus	6.8	5.9	34.9625	-101.1925	Talpidae	6.005307220342994	6.2895
Scalopus	7.6	6.8	35.733056	-100.523611	Talpidae	7.137583460114949	6.2895
Scalopus	6.7	6.6	35.733056	-100.5236	Talpidae	6.662661144173822	6.2895
Scalopus	5.2	4.3	37.04638900000001	-100.6508	Talpidae	4.787141934977475	4.4665
Scalopus	4.9	2.5	39.055833	-95.689444	Talpidae	4.102154756327609	4.4665
