species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Sciurus	1.8	0.3	36.5	-107.0	Sciuridae	1.7673618314711972	1.287
Sciurus	1.8	0.3	31.700001	-110.800003	Sciuridae	0.5789540443318564	0.4515
Sciurus	1.8	0.3	36.5	-107.0	Sciuridae	0.34236317686434264	0.4515
Sciurus	1.8	0.3	36.5	-107.0	Sciuridae	0.9011627887242162	1.287
Sciurus	0.126	0.0117	32.714721999999995	-96.707497	Sciuridae	0.03319061698289781	0.07035
Sciurus	2.588	0.0117	39.644169	-77.58555600000003	Sciuridae	1.10068069717239	1.287
Sciurus	1.8	0.3	28.799168	-82.070274	Sciuridae	0.4653089893017504	0.4515
Sciurus	0.126	0.0117	38.577221	-79.363609	Sciuridae	0.0799403888952221	0.07035
Sciurus	1.8	0.3	27.041668	-81.821114	Sciuridae	0.9208356995327104	1.287
Sciurus	1.8	0.3	29.683332	-82.566666	Sciuridae	1.3205560332363049	1.287
Sciurus	4.9	1.8	29.0	-82.68	Sciuridae	4.079146853642306	4.4665
Sciurus	0.126	0.0117	38.357777	-79.083054	Sciuridae	0.08718143839745081	0.07035
Sciurus	0.0117	0.0	38.628056	-78.41471899999998	Sciuridae	0.0017973384370840297	0.0021
Sciurus	1.8	0.3	36.799999	-82.800003	Sciuridae	1.4287522049173684	1.287
Sciurus	0.126	0.0117	29.799999	-82.099998	Sciuridae	0.11575412721214605	0.07035
Sciurus	0.126	0.0117	29.6	-82.416664	Sciuridae	0.04582019191900558	0.07035
Sciurus	0.126	0.0117	32.799999	-96.599998	Sciuridae	0.11920474105133072	0.07035
Sciurus	0.126	0.0117	31.98333400000001	-81.066666	Sciuridae	0.07514001383871705	0.07035
Sciurus	0.126	0.0117	29.4	-82.599998	Sciuridae	0.08103649118545572	0.07035
Sciurus	0.126	0.0117	38.086109	-79.656944	Sciuridae	0.10722433664511627	0.07035
Sciurus	0.126	0.0117	25.700001	-80.400002	Sciuridae	0.08988373715880726	0.07035
Sciurus	0.126	0.0117	29.407499	-82.476387	Sciuridae	0.03811522266834942	0.07035
Sciurus	0.126	0.0117	27.799999	-82.699997	Sciuridae	0.042532534445564256	0.07035
Sciurus	2.588	0.0117	36.266666	-83.13333100000001	Sciuridae	0.6893472444536086	0.4515
Sciurus	0.126	0.0117	33.066666	-96.966667	Sciuridae	0.044040307344756564	0.07035
Sciurus	0.126	0.0117	29.407499	-82.476387	Sciuridae	0.0517356348499478	0.07035
Sciurus	0.126	0.0117	25.700001	-80.400002	Sciuridae	0.09829882139443294	0.07035
Sciurus	10.1	9.0	39.934722	-119.066111	Sciuridae	9.344283868023922	9.438
Sciurus	13.6	10.3	39.558334	-119.112778	Sciuridae	11.470518112524186	9.438
Sciurus	10.0	9.0	39.542	-119.1106	Sciuridae	9.048579925985596	9.438
