species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Sorex	1.8	0.3	38.900002	-99.400002	Soricidae	1.6413375189244452	1.287
Sorex	1.8	0.3	38.900002	-99.400002	Soricidae	1.1398960993003917	1.287
Sorex	0.126	0.0117	38.602779	-79.368889	Soricidae	0.1065959143459206	0.07035
Sorex	2.588	0.0117	37.543331	-80.398888	Soricidae	1.2765059219212642	1.287
Sorex	2.588	0.0117	38.700001	-79.300003	Soricidae	0.08981293358280769	0.07035
Sorex	1.8	0.3	36.700001	-99.900002	Soricidae	1.5512297842485805	1.287
Sorex	0.126	0.0117	35.616669	-86.849998	Soricidae	0.02606039033439276	0.07035
Sorex	0.7809999999999999	0.126	37.366669	-105.75	Soricidae	0.4827243821661628	0.4515
Sorex	0.126	0.0117	38.833332	-79.283333	Soricidae	0.10891895920055944	0.07035
Sorex	0.126	0.0	37.952778	-79.76722	Soricidae	0.07998882279125102	0.07035
Sorex	1.8	0.3	37.200001	-100.300003	Soricidae	1.0764726457447114	1.287
Sorex	0.126	0.0	36.780556	-81.92083000000002	Soricidae	0.09278346826153093	0.07035
Sorex	0.126	0.0117	38.357777	-79.083054	Soricidae	0.05748711075157411	0.07035
Sorex	0.126	0.0117	38.086109	-79.656944	Soricidae	0.0669719561543682	0.07035
Sorex	1.8	0.3	40.200001	-98.099998	Soricidae	0.3059405979670215	0.4515
Sorex	1.8	0.3	38.700001	-79.300003	Soricidae	1.5088406054166064	1.287
Sorex	0.7809999999999999	0.126	63.073055	-139.312775	Soricidae	0.6329963576831833	0.4515
Sorex	2.588	0.0117	34.200001	-84.800003	Soricidae	0.4071422711076022	0.4515
Sorex	0.0117	0.0	46.666668	-113.099998	Soricidae	0.00020095775013936215	0.0021
Sorex	1.8	0.3	36.0	-93.199997	Soricidae	1.315237724572377	1.287
Sorex	1.8	0.3	36.799999	-100.5	Soricidae	1.3443341152518882	1.287
Sorex	0.126	0.0117	38.086109	-79.656944	Soricidae	0.0514493978293492	0.07035
Sorex	0.126	0.0117	37.097298	-81.33609799999998	Soricidae	0.07772422587805228	0.07035
Sorex	1.8	0.3	41.200001	-96.599998	Soricidae	1.7672648548048902	1.287
Sorex	1.8	0.3	35.0	-101.900002	Soricidae	0.7419446715603786	0.4515
Sorex	1.8	0.012	39.0	-98.199997	Soricidae	0.9042767523097004	1.287
Sorex	0.126	0.0	37.98722100000001	-79.830833	Soricidae	0.029009784446412324	0.07035
Sorex	0.126	0.0117	37.200001	-100.300003	Soricidae	0.0886882624744813	0.07035
Sorex	0.126	0.0	37.952778	-79.76722	Soricidae	0.06456026890121734	0.07035
Sorex	0.126	0.0	36.780556	-81.92083000000002	Soricidae	0.0678968106594131	0.07035
