species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Spermophilus	9.0	7.6	41.925	-118.83611100000002	Sciuridae	7.713586940777144	9.438
Spermophilus	9.0	6.7	35.463056	-118.9133	Sciuridae	7.732431790328604	9.438
Spermophilus	6.7	4.7	37.822778	-120.7633	Sciuridae	5.343822865494013	6.2895
Spermophilus	6.7	4.7	37.822778	-120.7633	Sciuridae	5.424605896635266	6.2895
Spermophilus	7.6	6.8	35.474444	-118.926667	Sciuridae	7.062298443425398	6.2895
Spermophilus	9.3	7.8	38.806944	-119.2181	Sciuridae	9.294385276967214	9.438
Spermophilus	10.1	9.0	35.133611	-118.817778	Sciuridae	9.572214635935254	9.438
Spermophilus	13.6	10.3	35.299999	-118.5	Sciuridae	12.697946665022778	12.725000000000001
Spermophilus	5.9	4.9	37.600278	-120.579167	Sciuridae	5.117177086171483	4.4665
Spermophilus	9.0	7.6	38.830278	-119.040278	Sciuridae	8.924271992242282	9.438
Spermophilus	8.0	7.5	41.93333300000001	-118.9	Sciuridae	7.715448127700339	9.438
Spermophilus	0.126	0.0117	40.900002	-111.199997	Sciuridae	0.09880001506625284	0.07035
Spermophilus	0.3	0.012	33.599998	-117.800003	Sciuridae	0.21841312513847594	0.4515
Spermophilus	0.126	0.0117	33.749443	-118.278893	Sciuridae	0.018591205778500604	0.07035
Spermophilus	0.126	0.0117	38.599998	-121.5	Sciuridae	0.07438411111905112	0.07035
Spermophilus	1.8	0.3	33.900002	-117.0	Sciuridae	1.4585888826317557	1.287
Spermophilus	1.8	0.012	33.599998	-117.800003	Sciuridae	0.381391370402573	0.4515
Spermophilus	4.9	2.5	32.113609999999994	-109.92111	Sciuridae	4.854453573098617	4.4665
Spermophilus	4.9	2.5	33.448457	-112.073844	Sciuridae	3.5633096097579733	3.09
Spermophilus	2.5	1.9	33.448457	-112.073844	Sciuridae	2.129474928978061	2.19
Spermophilus	2.5	1.9	33.448457	-112.073844	Sciuridae	2.1724014742828768	2.19
Spermophilus	4.9	2.5	35.66722199999999	-105.964444	Sciuridae	4.8905454851617165	4.4665
Spermophilus	2.5	1.9	32.113609999999994	-109.92111	Sciuridae	2.0533556369456734	2.19
