species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Spilogale	4.9	2.5	32.518611	-96.380833	Mustelidae	4.698975171553508	4.4665
Spilogale	4.9	1.8	32.716667	-100.916664	Mephitidae	4.3292428375310115	4.4665
Spilogale	0.126	0.0	38.950001	-114.01667	Mephitidae	0.0993816572190887	0.07035
Spilogale	0.126	0.0117	29.1	-82.300003	Mephitidae	0.023916967740259552	0.07035
Spilogale	2.5	1.9	39.055833	-95.689444	Mustelidae	2.213453438410613	2.19
Spilogale	1.8	0.3	39.599998	-78.699997	Mephitidae	1.4233548710440438	1.287
Spilogale	4.9	1.8	32.0	-110.199997	Mephitidae	2.164814054069781	2.19
Spilogale	1.8	0.3	39.299999	-105.699997	Mephitidae	0.5061460382911633	0.4515
Spilogale	0.126	0.0	32.549999	-110.650002	Mephitidae	0.04116910599948033	0.07035
Spilogale	2.588	0.0117	34.200001	-84.800003	Mephitidae	0.2061674967799169	0.4515
Spilogale	0.126	0.0117	30.35833400000001	-98.099998	Mephitidae	0.10338512976035616	0.07035
Spilogale	1.8	0.3	34.700001	-87.900002	Mephitidae	1.357951408150496	1.287
Spilogale	0.85	0.4	28.133333	-81.63166700000002	Mustelidae	0.8406246972308845	1.287
Spilogale	0.126	0.0117	38.483334	-107.150002	Mephitidae	0.02840146794494483	0.07035
Spilogale	1.8	0.3	37.200001	-100.300003	Mephitidae	1.2016278358929435	1.287
Spilogale	1.8	0.3	28.799168	-82.070274	Mephitidae	0.8959091720229209	1.287
Spilogale	1.8	0.3	36.0	-93.199997	Mephitidae	1.4487083530625018	1.287
Spilogale	1.9	0.85	28.133333	-81.63166700000002	Mustelidae	1.2778331802829708	1.287
Spilogale	2.5	1.9	32.113609999999994	-109.92111	Mustelidae	1.9371763680888667	2.19
Spilogale	1.8	0.3	36.5	-107.0	Mephitidae	0.8041454199740699	1.287
Spilogale	0.3	0.012	29.1	-82.300003	Mephitidae	0.1588000033714062	0.4515
Spilogale	1.8	0.3	39.299999	-105.699997	Mephitidae	0.7298609133690462	0.4515
Spilogale	1.8	0.3	39.599998	-78.699997	Mephitidae	1.0313770003050795	1.287
Spilogale	1.8	0.3	39.299999	-105.699997	Mephitidae	0.4937169740597642	0.4515
Spilogale	1.8	0.3	33.799999	-99.699997	Mephitidae	1.19168523184187	1.287
Spilogale	0.126	0.0	37.334721	-80.67916899999999	Mephitidae	0.03472178754765649	0.07035
Spilogale	0.126	0.0117	25.700001	-80.400002	Mephitidae	0.08129276212080594	0.07035
Spilogale	0.126	0.0117	27.799999	-82.699997	Mephitidae	0.013361297924884896	0.07035
Spilogale	4.9	1.8	37.200001	-100.300003	Mephitidae	4.868643352263612	4.4665
Spilogale	0.126	0.0117	28.083332	-80.599998	Mephitidae	0.04345227055860161	0.07035
Spilogale	0.126	0.0117	29.407499	-82.476387	Mephitidae	0.02688970809071176	0.07035
Spilogale	1.8	0.3	39.599998	-78.699997	Mephitidae	0.9603203609178284	1.287
Spilogale	0.0117	0.0	35.233334	-114.366669	Mephitidae	0.005352613148360846	0.006200000000000001
Spilogale	0.0117	0.0	35.233334	-114.366669	Mephitidae	0.004725266936346271	0.006200000000000001
Spilogale	2.588	0.0117	38.700001	-79.300003	Mephitidae	0.2482005230213677	0.4515
Spilogale	1.8	0.3	32.900002	-117.099998	Mephitidae	0.822725883163933	1.287
Spilogale	1.8	0.3	32.900002	-117.099998	Mephitidae	0.7022635373282131	0.4515
