species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Sylvilagus	0.126	0.0117	38.266666	-90.366669	Leporidae	0.012982480669169124	0.07035
Sylvilagus	0.126	0.0117	36.183334	-86.783333	Leporidae	0.1199435327811436	0.07035
Sylvilagus	0.126	0.0	36.183334	-86.783333	Leporidae	0.1178037200992106	0.07035
Sylvilagus	0.0117	0.0	31.183332	-104.199997	Leporidae	0.0064248567534164755	0.006200000000000001
Sylvilagus	0.126	0.0117	29.583332	-98.400002	Leporidae	0.09538494429446112	0.07035
Sylvilagus	0.126	0.0117	32.366669	-104.449997	Leporidae	0.03297523569029945	0.07035
Sylvilagus	1.8	0.3	39.299999	-105.699997	Leporidae	0.6383755987270707	0.4515
Sylvilagus	0.126	0.0117	32.349998	-104.783333	Leporidae	0.09434607210479044	0.07035
Sylvilagus	0.126	0.0117	31.183332	-104.199997	Leporidae	0.039040644770962654	0.07035
Sylvilagus	2.588	0.0	31.883333	-104.883331	Leporidae	2.067982521583573	2.19
Sylvilagus	0.126	0.0	27.0	-104.800003	Leporidae	0.04328897377034758	0.07035
Sylvilagus	0.3	0.012	33.599998	-117.800003	Leporidae	0.09365544907258977	0.07035
Sylvilagus	1.8	0.3	39.299999	-105.699997	Leporidae	1.010240647740459	1.287
Sylvilagus	1.8	0.3	39.299999	-105.699997	Leporidae	0.9750702679347858	1.287
Sylvilagus	0.126	0.0117	34.883331	-106.883331	Leporidae	0.10004970084860193	0.07035
Sylvilagus	0.126	0.0117	40.784	-122.281998	Leporidae	0.09883425960246238	0.07035
Sylvilagus	1.8	0.3	31.700001	-110.800003	Leporidae	1.5584401325053678	1.287
Sylvilagus	1.8	0.3	39.299999	-105.699997	Leporidae	0.8089629024244831	1.287
Sylvilagus	0.126	0.0117	40.916668	-122.23333	Leporidae	0.11776294877193212	0.07035
Sylvilagus	0.0117	0.0	35.233334	-114.366669	Leporidae	0.0028840522806803034	0.0021
Sylvilagus	0.0117	0.0	35.233334	-114.366669	Leporidae	0.010902749843084071	0.00995
Sylvilagus	0.0117	0.0	35.233334	-114.366669	Leporidae	0.001931712585391784	0.0021
Sylvilagus	0.0117	0.0	35.233334	-114.366669	Leporidae	0.005555840883212392	0.006200000000000001
Sylvilagus	0.126	0.0117	40.916668	-122.23333	Leporidae	0.05878861662565313	0.07035
Sylvilagus	0.126	0.0117	33.749443	-118.278893	Leporidae	0.01959706289090485	0.07035
Sylvilagus	0.126	0.0117	40.784	-122.281998	Leporidae	0.07023621459648037	0.07035
Sylvilagus	1.8	0.012	33.599998	-117.800003	Leporidae	0.6813424282027255	0.4515
Sylvilagus	1.8	0.3	45.433334	-99.866669	Leporidae	1.446869234139536	1.287
Sylvilagus	1.8	0.3	27.700001	-82.5	Leporidae	0.8032414463468238	1.287
Sylvilagus	1.8	0.3	38.700001	-98.099998	Leporidae	0.786396854465899	1.287
Sylvilagus	0.126	0.0117	32.714721999999995	-96.707497	Leporidae	0.054391843144771836	0.07035
Sylvilagus	1.8	0.3	27.9	-81.800003	Leporidae	1.2962689325831829	1.287
Sylvilagus	1.8	0.3	36.0	-93.199997	Leporidae	0.6874211682728987	0.4515
Sylvilagus	1.8	0.3	28.799168	-82.070274	Leporidae	1.6770564015220881	1.287
Sylvilagus	1.8	0.3	29.799999	-82.099998	Leporidae	1.7555414547745236	1.287
Sylvilagus	1.8	0.3	33.75	-99.5	Leporidae	1.367870276039674	1.287
Sylvilagus	0.126	0.0117	29.799999	-82.099998	Leporidae	0.018235327692836173	0.07035
Sylvilagus	1.8	0.3	40.200001	-75.300003	Leporidae	0.8131491536899886	1.287
Sylvilagus	0.7809999999999999	0.126	42.1189	-101.186203	Leporidae	0.5540630542204688	0.4515
Sylvilagus	0.126	0.0117	33.066666	-96.966667	Leporidae	0.09594940357760133	0.07035
