species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Ulmaceae	13.6	10.3	38.493889	-118.897222	Rosids	12.908729639088213	12.725000000000001
Ulmaceae	13.6	10.3	38.493889	-118.897222	Rosids	13.46404581510446	12.725000000000001
Ulmaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	19.895939616675985	18.205000000000002
Ulmaceae	20.43	15.97	39.2	-117.78333300000001	Rosids	19.88056677168536	18.205000000000002
Ulmaceae	10.0	10.0	36.419722	-82.476667	Rosids	10.0	9.438
Ulmaceae	23.03	20.43	75.411111	-89.430278	Rosids	21.538159746462878	21.735
Ulmaceae	16.3	13.6	38.493889	-118.897222	Rosids	14.077761622901127	14.895
Ulmaceae	16.3	13.6	38.493889	-118.897222	Rosids	14.005492171112644	14.895
Ulmaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Ulmaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Ulmaceae	23.03	23.03	44.866667	-113.016667	Rosids	23.03	25.425
Ulmaceae	20.43	15.97	32.5725	-81.358056	Rosids	16.16068232851362	18.205000000000002
Ulmaceae	0.126	0.01	42.12	-85.906667	Rosids	0.09395721725363876	0.07035
Ulmaceae	13.65	11.61	39.583333	-119.36666699999999	Rosids	12.44432800730535	12.725000000000001
Ulmaceae	15.97	11.61	36.139722	-120.359167	Rosids	14.92667428256216	14.895
Ulmaceae	19.1	17.38	42.83	-124.55	Rosids	18.7333478883466	18.205000000000002
Ulmaceae	19.1	17.38	42.83	-124.55	Rosids	18.91685485079336	18.205000000000002
