species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Urocyon	0.126	0.0117	40.916668	-122.23333	Canidae	0.020039744633298474	0.07035
Urocyon	2.588	0.0	31.883333	-104.883331	Canidae	1.0396415015538545	1.287
Urocyon	0.126	0.0117	31.566668	-108.400002	Canidae	0.07966407802476293	0.07035
Urocyon	0.126	0.0117	33.895278999999995	-117.987503	Canidae	0.12342989173813672	0.07035
Urocyon	0.126	0.0117	28.716667	-81.449997	Canidae	0.0692828553936428	0.07035
Urocyon	1.8	0.3	39.299999	-105.699997	Canidae	1.7961938218061293	1.287
Urocyon	1.8	0.3	40.200001	-75.300003	Canidae	0.5309027481510444	0.4515
Urocyon	0.3	0.012	29.1	-82.300003	Canidae	0.20422963129601066	0.4515
Urocyon	0.126	0.0	33.683334	-88.599998	Canidae	0.04517357205940139	0.07035
Urocyon	0.126	0.0	37.334721	-80.67916899999999	Canidae	0.03044839481131208	0.07035
Urocyon	2.588	0.0117	32.559166	-80.292503	Canidae	0.6320664228658956	0.4515
Urocyon	1.8	0.3	39.299999	-105.699997	Canidae	0.808032752618302	1.287
Urocyon	0.126	0.0117	32.366669	-104.449997	Canidae	0.09193609314396613	0.07035
Urocyon	0.126	0.0117	29.6	-82.416664	Canidae	0.034896344491606536	0.07035
Urocyon	2.588	0.0117	34.200001	-84.800003	Canidae	1.8246435296857528	2.19
Urocyon	0.126	0.0117	29.799999	-82.099998	Canidae	0.04692797021733265	0.07035
Urocyon	0.126	0.0117	40.784	-122.281998	Canidae	0.037088719272557434	0.07035
Urocyon	0.126	0.0117	39.0	-86.5	Canidae	0.1164712674590431	0.07035
Urocyon	0.126	0.0117	29.1	-82.300003	Canidae	0.03114639805362215	0.07035
Urocyon	0.126	0.0117	28.799999	-82.199997	Canidae	0.07671625801801785	0.07035
Urocyon	0.126	0.0117	29.407499	-82.476387	Canidae	0.07838352478164562	0.07035
Urocyon	0.126	0.0117	25.700001	-80.400002	Canidae	0.01964805498670324	0.07035
Urocyon	0.0117	0.0	38.628056	-78.41471899999998	Canidae	0.006127902703542628	0.006200000000000001
Urocyon	0.126	0.0117	38.833332	-79.29583000000002	Canidae	0.09661259857611326	0.07035
Urocyon	0.126	0.0117	29.566668	-95.050003	Canidae	0.04757602007643432	0.07035
Urocyon	1.8	0.3	36.0	-93.199997	Canidae	0.7309824692081904	0.4515
Urocyon	2.588	0.0117	34.400002	-119.51667	Canidae	0.2174335999799316	0.4515
Urocyon	0.126	0.0117	28.083332	-80.599998	Canidae	0.11395112082346755	0.07035
Urocyon	1.8	0.3	39.799999	-77.199997	Canidae	1.7241429440005824	1.287
Urocyon	1.8	0.3	27.700001	-82.5	Canidae	0.4479632980623655	0.4515
Urocyon	4.9	1.8	37.200001	-100.300003	Canidae	4.3593036555941636	4.4665
Urocyon	2.5	1.9	28.133333	-81.63166700000002	Canidae	2.3508707745484636	2.19
Urocyon	4.9	1.8	29.0	-82.68	Canidae	3.1881221820198538	3.09
Urocyon	4.9	1.8	32.900002	-117.099998	Canidae	2.6673537864508723	3.09
Urocyon	2.5	1.9	33.448457	-112.073844	Canidae	1.9054420604525468	2.19
Urocyon	4.9	1.8	34.883331	-101.633331	Canidae	4.120820550392469	4.4665
Urocyon	2.5	1.9	34.97	-101.9	Canidae	2.018567059179138	2.19
Urocyon	4.9	2.5	32.518611	-96.380833	Canidae	3.463220405023828	3.09
Urocyon	4.9	1.8	32.716667	-100.916664	Canidae	2.097044918573755	2.19
Urocyon	2.5	0.85	38.555605	-121.468926	Canidae	1.242693095494242	1.287
Urocyon	4.9	1.8	33.0	-109.599998	Canidae	4.1672369876180335	4.4665
Urocyon	4.9	1.8	31.5	-105.199997	Canidae	3.4784050392956423	3.09
Urocyon	1.8	0.3	28.799168	-82.070274	Canidae	1.2678869823896004	1.287
Urocyon	1.8	0.3	29.4	-82.599998	Canidae	1.7623557955642557	1.287
Urocyon	0.85	0.4	28.133333	-81.63166700000002	Canidae	0.7829734374885892	1.287
Urocyon	4.9	1.8	37.200001	-100.300003	Canidae	2.407674098856324	2.19
Urocyon	4.9	2.5	40.809868	-96.675345	Canidae	4.387762076154312	4.4665
Urocyon	4.9	2.5	39.055833	-95.689444	Canidae	3.6602980269129084	4.4665
Urocyon	7.5	6.7	28.9878	-82.3483	Canidae	7.1700478293164585	6.2895
