species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Ursus	4.9	2.5	47.0425	-122.893056	Ursidae	3.2039097908461267	3.09
Ursus	4.9	1.8	42.799999	-114.900002	Ursidae	3.0338015226097306	3.09
Ursus	5.332999999999998	3.6	78.550003	-82.36666899999999	Ursidae	3.8610270748500133	4.4665
Ursus	4.9	1.8	38.799999	-119.5	Ursidae	2.8808099553856072	3.09
Ursus	4.9	2.5	38.976667	-119.539722	Ursidae	2.9132761350558467	3.09
Ursus	4.9	2.5	43.613739	-116.237651	Ursidae	4.762631599448894	4.4665
Ursus	2.5	1.9	34.97	-101.9	Ursidae	2.1218026561898338	2.19
Ursus	0.126	0.0117	29.799999	-82.099998	Ursidae	0.10752877222337866	0.07035
Ursus	0.126	0.0117	29.799999	-82.099998	Ursidae	0.1188699801256315	0.07035
Ursus	0.126	0.0117	28.716667	-81.449997	Ursidae	0.04832799361672088	0.07035
Ursus	4.9	1.8	32.900002	-117.099998	Ursidae	4.308376683749808	4.4665
Ursus	0.126	0.0117	39.0	-86.5	Ursidae	0.03267282650636958	0.07035
Ursus	0.126	0.0117	29.4	-82.599998	Ursidae	0.10244405450082952	0.07035
Ursus	0.126	0.0117	25.700001	-80.400002	Ursidae	0.1133042832674815	0.07035
Ursus	0.126	0.0117	34.729443	-87.792221	Ursidae	0.08082298598985863	0.07035
Ursus	0.126	0.0117	34.719722999999995	-87.767776	Ursidae	0.08314434761469543	0.07035
Ursus	0.126	0.0117	38.483334	-107.150002	Ursidae	0.04512726723463648	0.07035
Ursus	0.126	0.0117	50.416668	-126.98333	Ursidae	0.1145666925564633	0.07035
Ursus	1.8	0.3	39.799999	-77.199997	Ursidae	0.6375820890827513	0.4515
Ursus	1.8	0.3	36.0	-93.199997	Ursidae	1.761472401894673	1.287
Ursus	1.8	0.3	39.599998	-78.699997	Ursidae	1.311964353905695	1.287
Ursus	1.8	0.3	29.700001	-82.599998	Ursidae	0.8626650595242258	1.287
Ursus	1.8	0.3	38.700001	-79.300003	Ursidae	1.5468826532381554	1.287
Ursus	1.8	0.3	42.0	-96.0	Ursidae	0.9830996415690628	1.287
Ursus	0.3	0.012	29.1	-82.300003	Ursidae	0.18209888018378972	0.4515
Ursus	1.8	0.3	40.200001	-75.300003	Ursidae	0.4862865938029533	0.4515
Ursus	2.588	0.0117	36.150002	-84.099998	Ursidae	0.8437067825093215	1.287
Ursus	2.588	0.0117	36.266666	-83.13333100000001	Ursidae	0.7871223146515959	1.287
Ursus	0.126	0.0117	33.895278999999995	-117.987503	Ursidae	0.028846163841978124	0.07035
Ursus	2.588	0.0117	32.0425	-91.609444	Ursidae	1.9665991549791024	2.19
Ursus	2.588	0.0117	31.559723	-91.402779	Ursidae	1.9922424847142843	2.19
Ursus	0.126	0.0117	28.083332	-80.599998	Ursidae	0.08619970387918856	0.07035
Ursus	0.126	0.0117	29.049999	-82.089996	Ursidae	0.02046674055932309	0.07035
Ursus	0.0117	0.0	38.52861	-78.735558	Ursidae	0.010406959427548969	0.00995
Ursus	0.126	0.0117	38.872501	-78.512222	Ursidae	0.0920993279830508	0.07035
Ursus	0.126	0.0117	36.93861	-81.093887	Ursidae	0.10077059245678904	0.07035
Ursus	2.588	0.0117	34.200001	-84.800003	Ursidae	2.012303117344712	2.19
Ursus	0.0117	0.0	65.349998	-151.0	Ursidae	0.0037097779179417548	0.0021
Ursus	0.0117	0.0	65.349998	-151.0	Ursidae	0.008187337792110408	0.006200000000000001
Ursus	2.588	0.0117	35.533333	-84.433334	Ursidae	1.7178618965616113	1.287
Ursus	0.126	0.0117	40.916668	-122.23333	Ursidae	0.06567260663655143	0.07035
Ursus	0.126	0.0117	34.883331	-106.883331	Ursidae	0.0493180430028634	0.07035
Ursus	0.126	0.0117	32.714721999999995	-96.707497	Ursidae	0.12092947525707935	0.07035
Ursus	0.126	0.0117	27.638332	-80.397499	Ursidae	0.04652016360073824	0.07035
Ursus	0.126	0.0117	39.366669	-114.599998	Ursidae	0.02876532739383971	0.07035
Ursus	0.126	0.0117	39.366669	-114.599998	Ursidae	0.1020116075501506	0.07035
Ursus	0.0117	0.0	38.628056	-78.41471899999998	Ursidae	0.006555573650127886	0.006200000000000001
Ursus	0.0117	0.0	65.349998	-151.0	Ursidae	0.00582702241429064	0.006200000000000001
Ursus	2.588	0.0117	39.644169	-77.58555600000003	Ursidae	1.1932475841834942	1.287
Ursus	1.8	0.3	39.599998	-78.699997	Ursidae	1.3540698188191052	1.287
Ursus	2.588	0.0	38.338333	-77.280281	Ursidae	0.8564052348866226	1.287
Ursus	2.588	0.0117	38.700001	-79.300003	Ursidae	0.8962905796908517	1.287
