species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Vulpes	0.126	0.0117	40.784	-122.281998	Canidae	0.08377012915814343	0.07035
Vulpes	9.0	6.7	35.474444	-118.9267	Canidae	8.591399955630099	9.438
Vulpes	7.6	6.8	35.474444	-118.926667	Canidae	7.1511790974822125	6.2895
Vulpes	13.6	10.3	35.299999	-118.5	Canidae	13.225122367088515	12.725000000000001
Vulpes	5.9	4.9	38.01	-122.301111	Canidae	5.2446386609984765	4.4665
Vulpes	9.0	7.6	41.925	-118.83611100000002	Canidae	8.636575006595834	9.438
Vulpes	5.9	4.9	28.18222	-81.82417	Canidae	5.848290032792107	6.2895
Vulpes	7.6	6.8	36.114167	-105.978889	Canidae	7.048560281974153	6.2895
Vulpes	9.0	7.5	41.294167	-101.8906	Canidae	8.321232348439118	9.438
Vulpes	7.6	6.8	43.451111	-117.587222	Canidae	7.302701934517398	9.438
Vulpes	7.5	6.7	43.451111	-117.5872	Canidae	7.045512853909483	6.2895
Vulpes	6.8	4.9	38.100556	-114.167778	Canidae	5.021533170871443	4.4665
Vulpes	9.0	7.6	35.462222	-117.520278	Canidae	8.676963868726919	9.438
Vulpes	9.0	6.7	41.3833	-120.6678	Canidae	7.947389720050579	9.438
Vulpes	7.5	4.7	36.0894	-106.0748	Canidae	5.417121879365258	6.2895
Vulpes	7.5	6.7	43.451111	-117.5872	Canidae	7.118435506807523	6.2895
Vulpes	6.8	5.9	35.993333	-100.588333	Canidae	6.026950232360457	6.2895
Vulpes	6.6	6.3	32.445833	-110.4978	Canidae	6.344829576776558	6.2895
Vulpes	6.7	5.9	36.747222	-101.3753	Canidae	5.994487750996388	6.2895
Vulpes	8.0	7.5	41.8833	-118.8343	Canidae	7.7196720456793475	9.438
Vulpes	5.9	4.7	27.8653	-82.0365	Canidae	5.375612447469937	6.2895
Vulpes	7.5	6.7	41.335833	-102.3842	Canidae	7.334385173602043	9.438
Vulpes	8.0	7.5	41.982	-118.8535	Canidae	7.831528041243081	9.438
Vulpes	5.9	4.9	28.5	-108.25	Canidae	5.791701504988346	6.2895
Vulpes	9.0	6.7	35.491389	-117.4022	Canidae	7.791878872463265	9.438
Vulpes	8.0	7.5	41.925	-118.8361	Canidae	7.518252702198813	9.438
