species	max_age	min_age	lat	lon	family	mean_age	rounded_ages
Zapus	4.9	1.8	37.200001	-100.300003	Zapodidae	3.708958008328957	4.4665
Zapus	2.5	0.85	39.055833	-95.689444	Dipodidae	1.3368658722941962	1.287
Zapus	2.5	1.9	39.055833	-95.689444	Dipodidae	2.2915216650911625	2.19
Zapus	0.3	0.012	43.049999	-82.61666899999999	Zapodidae	0.2652952675812085	0.4515
Zapus	0.126	0.0117	37.200001	-100.300003	Zapodidae	0.09131090036329532	0.07035
Zapus	0.126	0.0117	37.097298	-81.33609799999998	Zapodidae	0.03201246147597913	0.07035
Zapus	0.126	0.0117	38.086109	-79.656944	Zapodidae	0.052924201119779656	0.07035
Zapus	2.588	0.0117	34.200001	-84.800003	Zapodidae	1.2388521044144765	1.287
Zapus	0.126	0.0117	38.833332	-79.283333	Zapodidae	0.12355970502726794	0.07035
Zapus	0.126	0.0117	38.476665	-78.892776	Zapodidae	0.08386927349288294	0.07035
Zapus	2.588	0.0117	37.543331	-80.398888	Zapodidae	1.7543219677222786	1.287
Zapus	0.126	0.0117	38.602779	-79.368889	Zapodidae	0.12055012814781002	0.07035
Zapus	1.8	0.3	38.700001	-79.300003	Zapodidae	1.7992966120263392	1.287
Zapus	1.8	0.3	38.299999	-97.599998	Zapodidae	0.4596874517813994	0.4515
Zapus	0.126	0.0117	38.332222	-79.570274	Zapodidae	0.0993519847689052	0.07035
Zapus	1.8	0.3	39.799999	-77.199997	Zapodidae	1.3592369493245666	1.287
Zapus	1.8	0.3	40.200001	-98.099998	Zapodidae	0.915546453929472	1.287
Zapus	1.8	0.3	37.200001	-100.300003	Zapodidae	1.0151022770135358	1.287
Zapus	1.8	0.3	37.200001	-100.300003	Zapodidae	0.3360265825341213	0.4515
Zapus	0.126	0.0117	38.357777	-79.083054	Zapodidae	0.08258952598658742	0.07035
Zapus	0.0117	0.0	46.666668	-113.099998	Zapodidae	0.006982262902187945	0.006200000000000001
Zapus	4.9	2.5	39.055833	-95.689444	Dipodidae	2.792940811627159	3.09
Zapus	4.9	2.5	39.055833	-95.689444	Dipodidae	4.727464299996615	4.4665
Zapus	4.9	1.8	37.200001	-100.300003	Zapodidae	4.547453407672825	4.4665
Zapus	2.5	1.9	39.92361	-97.82139	Dipodidae	2.3614953845631845	2.19
Zapus	2.5	1.9	39.055833	-95.689444	Dipodidae	2.063762893998238	2.19
Zapus	4.9	1.8	42.0	-101.0	Zapodidae	2.988570146676633	3.09
Zapus	4.9	1.8	37.200001	-100.300003	Zapodidae	4.711936164370123	4.4665
Zapus	4.9	1.8	39.900002	-97.699997	Zapodidae	3.6798716179798574	4.4665
Zapus	1.8	0.3	40.200001	-99.400002	Zapodidae	1.0155107515731443	1.287
Zapus	4.9	1.8	39.900002	-97.699997	Zapodidae	4.466901014480231	4.4665
Zapus	4.9	2.5	39.055833	-95.689444	Dipodidae	3.3933383718385306	3.09
Zapus	1.8	0.3	37.200001	-100.300003	Zapodidae	0.5459479714358619	0.4515
Zapus	4.9	2.5	39.055833	-95.689444	Dipodidae	3.3738076330382696	3.09
Zapus	1.8	0.3	38.700001	-98.099998	Zapodidae	1.7761662137798162	1.287
Zapus	1.8	0.3	39.799999	-98.099998	Zapodidae	1.0387959994467708	1.287
Zapus	1.8	0.3	45.433334	-99.866669	Zapodidae	1.6523905167362651	1.287
