lon	lat	age	label
-123.03	74.30	15.00	closed
-141.33	67.33	15.20	closed
-148.94	63.90	15.50	closed
-141.92	64.08	2.90	open
-145.62	63.23	5.26	closed
-163.12	65.88	5.70	closed
-142.13	67.15	6.57	closed
-148.85	63.87	8.00	closed
-148.85	63.87	9.70	closed
-148.85	63.87	11.30	closed
-148.85	63.87	13.40	closed
-148.85	63.87	14.00	closed
-148.85	63.87	14.60	closed
-148.85	63.87	15.00	closed
-148.85	63.87	16.00	closed
-123.23	39.78	13.79	closed
-125.32	52.47	10.00	closed
-125.35	52.02	10.00	closed
-123.04	51.92	10.00	closed
-122.48	52.98	10.00	closed
-120.78	50.89	10.00	closed
-119.63	44.50	7.40	open
-77.44	37.54	13.80	closed
-84.99	30.47	16.50	closed
-115.79	46.34	11.50	closed
-116.55	43.00	9.50	closed
-75.06	38.55	8.45	closed
-75.06	38.55	10.65	closed
-75.06	38.55	11.05	closed
-75.06	38.55	15.50	closed
-75.06	38.55	18.90	closed
-112.42	34.58	7.60	closed
-74.33	40.03	11.00	closed
-75.16	78.26	3.10	open
-75.16	78.26	7.60	closed
-82.34	29.29	9.25	open
-119.07	47.92	8.45	closed
-101.03	42.81	6.25	open
-120.54	46.51	7.60	closed
-120.52	46.66	7.60	closed
-120.55	46.70	7.60	closed
-120.64	46.82	8.45	closed
-120.47	46.90	8.45	closed
-114.02	42.10	13.80	closed
-119.30	39.42	14.05	closed
-121.89	36.56	10.65	closed
-148.96	63.85	9.15	closed
-120.01	38.50	7.00	closed
-120.57	37.61	4.50	closed
-120.02	35.97	5.00	open
-99.24	79.93	4.45	open
-131.22	71.58	13.80	closed
-87.10	75.11	19.50	closed
-122.67	38.58	3.95	closed
-122.64	38.40	3.95	closed
-122.67	38.40	3.95	closed
-122.72	38.51	3.95	closed
-122.53	38.19	3.95	closed
-122.11	37.85	3.95	closed
-122.14	37.88	3.95	closed
-122.50	37.69	3.95	closed
-122.04	37.28	3.95	closed
-123.80	40.12	3.95	closed
-123.81	40.12	3.95	closed
-123.73	40.06	3.95	closed
-120.45	41.49	3.10	closed
-120.28	36.05	3.95	closed
-119.28	34.35	3.95	closed
-132.02	54.02	7.10	closed
-123.78	47.04	8.45	closed
-93.06	31.09	12.25	closed
-122.60	53.09	8.45	closed
-118.17	44.72	8.30	closed
-118.17	44.72	8.45	closed
-135.75	69.33	3.10	closed
-135.75	69.33	3.95	closed
-135.75	69.33	17.30	open
-104.80	40.93	21.35	closed
-104.03	40.78	18.70	closed
-103.92	40.99	17.95	open
-103.94	40.89	14.40	open
-103.94	40.89	14.10	open
-103.94	40.89	14.25	closed
-104.03	40.78	13.30	open
-103.89	40.74	11.50	closed
-110.98	46.71	27.50	closed
-113.06	46.71	27.50	open
-111.92	46.01	24.15	closed
-111.85	45.99	19.00	closed
-113.26	44.78	21.00	closed
-113.25	44.79	17.20	open
-113.25	44.79	16.70	open
-113.25	44.79	16.30	open
-113.25	44.80	15.20	open
-113.25	44.80	15.10	open
-112.55	44.93	15.80	open
-111.43	45.75	14.15	closed
-114.20	45.90	13.40	open
-103.53	42.76	29.00	closed
-103.68	42.30	28.40	closed
-104.77	42.65	28.40	closed
-103.93	42.75	28.10	closed
-103.93	42.75	27.90	closed
-103.93	42.75	26.20	closed
-103.93	42.75	26.00	closed
-103.93	42.75	25.90	open
-103.88	42.03	26.50	closed
-103.01	42.72	25.00	closed
-103.93	42.69	20.00	open
-103.93	42.69	19.80	open
-103.93	42.69	19.50	open
-103.46	42.43	24.00	open
-103.72	41.70	19.20	open
-103.76	42.42	19.10	open
-104.02	42.67	19.10	open
-103.46	42.43	19.10	open
-104.06	42.34	19.10	open
-104.06	42.34	18.90	open
-103.76	42.42	18.90	open
-104.01	42.60	18.90	open
-101.77	42.81	19.10	open
-103.37	42.43	18.50	open
-103.04	42.48	18.10	open
-102.02	42.77	18.10	open
-102.59	42.56	17.50	open
-103.07	42.44	17.00	open
-103.72	42.17	16.50	open
-103.72	42.17	16.10	open
-102.80	42.64	16.50	open
-103.72	42.17	15.60	open
-102.85	42.69	15.00	open
-100.50	42.80	11.80	open
-99.82	42.73	11.40	open
-100.82	42.75	10.80	open
-99.94	42.71	9.50	open
-100.27	42.91	9.00	open
-106.03	35.99	15.80	closed
-106.03	35.99	13.75	closed
-97.86	42.82	5.25	open
-103.77	41.52	6.00	open
-103.77	41.52	7.00	open
-103.62	41.18	7.00	open
-100.02	42.82	9.50	open
-102.13	41.26	10.15	open
-100.49	42.91	11.87	open
-103.07	42.57	18.15	open
-99.83	37.43	7.00	open
-99.54	39.00	8.50	open
-99.54	39.00	8.00	open
-99.77	42.56	2.50	open
-74.76	39.43	12.70	closed
-74.76	39.43	18.50	closed
-103.19	36.34	3.95	closed
-103.10	36.69	3.95	closed
-73.05	43.84	17.50	closed
-103.79	42.19	16.40	closed
-98.23	42.39	19.50	closed
-119.00	46.00	7.50	closed
-115.00	42.00	3.00	open
-115.00	42.00	10.65	closed
-107.00	40.00	18.45	closed
-107.00	41.00	18.45	closed
-107.00	41.00	14.95	closed
-114.10	42.24	11.95	closed
-118.81	43.74	11.95	closed
-117.03	43.26	14.95	closed
-99.76	39.90	4.45	open
-99.76	39.85	4.45	open
-101.37	40.42	4.45	open
-99.54	39.95	4.45	open
-102.20	39.90	4.45	open
-102.14	41.33	4.45	open
-98.73	39.74	4.45	open
-100.20	39.84	4.45	open
-98.40	41.70	4.45	open
-100.56	38.95	4.45	open
-103.30	42.45	19.60	open
-103.11	41.83	21.60	open
-103.30	42.10	18.10	open
-102.69	42.68	16.95	open
-100.56	42.87	4.45	open
-114.60	42.10	7.40	open
-114.68	42.08	7.70	open
-115.22	42.08	8.00	open
-114.67	42.00	8.60	open
-113.93	42.08	9.30	open
-114.30	42.40	10.20	open
-114.30	42.40	10.40	open
-114.30	42.42	10.50	open
-114.28	42.33	10.55	open
-114.01	42.30	10.60	open
-114.27	42.33	10.70	open
-114.02	42.30	10.80	open
-114.07	42.15	11.60	open
-115.67	41.96	12.00	open
-112.55	41.20	2.60	open
-112.55	41.20	2.70	open
-112.55	41.20	2.80	open
-112.55	41.20	2.90	open
-112.55	41.20	3.00	open
-112.55	41.20	3.10	open
-112.55	41.20	3.20	open
-112.55	41.20	3.30	open
-112.55	41.20	3.40	open
-112.55	41.20	3.50	open
-112.55	41.20	3.60	open
-112.55	41.20	3.70	open
-112.55	41.20	3.90	open
-112.55	41.20	4.00	open
-112.55	41.20	4.10	open
-112.55	41.20	4.20	open
-112.55	41.20	4.40	open
-112.55	41.20	4.50	open
-112.55	41.20	4.60	open
-112.55	41.20	4.70	open
-112.55	41.20	4.80	open
-112.55	41.20	4.90	open
-112.55	41.20	5.00	open
-112.55	41.20	5.10	open
-112.55	41.20	5.20	open
-112.55	41.20	5.30	closed
-112.55	41.20	5.40	closed
-112.55	41.20	5.50	closed
-112.55	41.20	5.60	closed
-112.55	41.20	5.70	closed
-112.55	41.20	5.80	closed
-112.55	41.20	6.10	closed
-112.55	41.20	6.40	closed
-112.55	41.20	6.60	closed
-112.55	41.20	7.20	closed
-112.55	41.20	7.50	closed
-112.55	41.20	7.80	closed
-112.55	41.20	8.10	closed
-112.55	41.20	8.40	closed
-112.55	41.20	8.60	closed
-112.55	41.20	8.90	closed
-112.55	41.20	9.50	closed
-112.55	41.20	9.70	closed
-112.55	41.20	10.00	closed
-112.55	41.20	10.30	closed
-112.55	41.20	10.50	closed
-112.55	41.20	10.60	closed
-112.55	41.20	10.70	closed
-112.55	41.20	11.00	closed
-112.55	41.20	11.20	closed
-112.55	41.20	11.40	closed
-112.55	41.20	11.50	closed
-112.55	41.20	11.80	closed
-112.55	41.20	12.00	closed
-112.55	41.20	12.40	closed
-112.55	41.20	12.50	closed
-112.55	41.20	12.70	closed
-112.55	41.20	12.90	closed
-112.55	41.20	13.00	closed
-112.55	41.20	13.10	closed
-112.55	41.20	13.20	closed
-112.55	41.20	13.50	closed
-111.00	44.00	9.20	closed
-73.05	43.83	19.50	closed
-103.20	42.50	18.50	closed
-100.00	42.50	13.50	closed
-100.50	36.80	11.00	open
-101.00	35.00	11.00	closed
-101.20	38.80	5.50	closed
-117.68	39.00	15.60	closed
-114.09	42.25	15.65	closed
-117.63	39.39	15.50	closed
-89.67	75.37	23.10	closed
-118.46	42.41	22.00	closed
-118.11	36.19	16.80	closed
-151.70	59.40	16.30	closed
-74.33	40.03	11.00	closed
-77.40	37.50	5.40	closed
-76.80	38.70	6.25	closed
-75.20	38.50	5.40	closed
-75.50	38.60	5.40	closed
-76.40	36.75	3.50	closed
-75.10	38.60	3.10	closed
-76.82	38.72	8.00	closed
-119.60	39.80	15.60	closed
-119.97	39.49	5.10	closed
-117.50	38.00	15.75	closed
-117.75	38.20	14.40	closed
-119.33	39.60	14.75	closed
-119.80	41.80	16.00	closed
-119.29	41.40	16.00	closed
-116.26	47.02	17.30	closed
-116.26	46.94	16.00	closed
-115.57	49.68	14.50	closed
-118.95	47.92	14.50	closed
-117.31	47.69	14.50	closed
-116.35	47.11	14.50	closed
-116.25	46.99	14.50	closed
-116.28	46.77	14.50	closed
-116.71	46.49	14.50	closed
-116.26	46.42	14.50	closed
-116.28	45.79	14.50	closed
-117.10	43.30	16.70	closed
-103.02	46.66	13.10	closed
-119.47	44.46	15.40	closed
-118.76	44.48	13.80	closed
-118.20	43.97	13.80	closed
-117.42	47.66	10.65	closed
-151.17	59.75	3.95	closed
-151.70	60.03	3.95	closed
-150.60	62.42	8.45	closed
-151.40	61.04	8.45	closed
-151.29	59.71	8.45	closed
-151.75	59.39	8.45	closed
-151.25	61.24	13.80	closed
-150.60	62.42	13.80	closed
-151.77	61.30	13.80	closed
-149.85	61.63	13.80	closed
-151.53	62.33	13.80	closed
-151.74	59.41	13.80	closed
-152.61	59.79	17.30	closed
-153.29	58.84	19.50	closed
-149.58	61.32	19.50	closed
-152.45	60.29	19.50	closed
-152.32	60.53	19.50	closed
-152.43	60.29	19.50	closed
-152.34	60.37	19.50	closed
-149.15	61.67	19.50	closed
-149.09	61.70	19.50	closed
-143.17	61.80	13.80	closed
-149.20	62.70	3.95	closed
-164.10	65.30	8.45	closed
-165.40	64.50	2.70	closed
-70.83	41.35	3.95	closed
-70.83	41.35	14.90	closed
-70.82	41.32	14.90	closed
-118.87	38.51	13.50	closed
-119.00	39.75	12.80	closed
-119.01	39.38	12.80	closed
-120.01	46.94	15.50	closed
-85.79	40.45	4.50	open
-116.90	33.90	3.95	open
-121.22	44.75	4.15	closed
-82.27	27.47	4.25	closed
-82.27	27.47	3.25	closed
-82.27	27.47	2.75	closed
-83.93	79.70	3.05	open
-82.20	78.47	3.05	open
-81.55	78.40	3.05	closed
-83.05	78.37	3.05	closed
-81.62	77.86	3.05	closed
-82.34	79.52	3.05	open
-118.47	37.78	4.45	closed
-116.54	36.21	4.90	open
-117.10	32.66	2.25	closed
-122.63	38.35	3.10	closed
-121.51	41.96	2.60	closed
-121.51	41.96	2.62	closed
-121.51	41.96	2.64	closed
-121.51	41.96	2.66	closed
-121.51	41.96	2.67	closed
-121.51	41.96	2.69	closed
-121.51	41.96	2.71	closed
-121.51	41.96	2.72	closed
-121.51	41.96	2.73	closed
-121.51	41.96	2.75	closed
-121.51	41.96	2.76	closed
-121.51	41.96	2.77	closed
-121.51	41.96	2.78	closed
-121.51	41.96	2.79	closed
-121.51	41.96	2.80	closed
-121.51	41.96	2.81	closed
-121.51	41.96	2.82	closed
-121.51	41.96	2.83	closed
-121.51	41.96	2.86	closed
-121.51	41.96	2.87	closed
-121.51	41.96	2.89	closed
-121.51	41.96	2.90	closed
-121.51	41.96	2.92	closed
-121.51	41.96	2.93	closed
-121.51	41.96	2.95	closed
-121.51	41.96	2.96	closed
-121.51	41.96	2.97	closed
-121.51	41.96	2.99	closed
-121.51	41.96	3.00	closed
-121.51	41.96	3.01	closed
-121.51	41.96	3.02	closed
-162.99	65.98	5.70	closed
-99.05	79.88	3.00	closed
-152.46	70.52	2.50	closed
-106.47	36.22	19.00	closed
-107.05	36.04	19.50	closed
-106.76	35.74	19.50	closed
-106.85	35.47	19.00	closed
-115.83	43.68	11.00	open
-123.30	44.31	9.43	closed
-75.70	38.70	3.10	closed
-76.30	36.70	3.10	closed
-76.70	36.30	3.10	closed
-76.50	37.20	3.95	closed
-76.60	36.95	3.95	closed
-75.30	38.67	8.45	closed
-76.80	38.70	8.45	closed
-75.40	38.80	8.45	closed
-75.50	39.20	8.45	closed
-76.50	38.00	10.50	closed
-75.50	39.20	13.80	closed
-76.00	39.80	10.50	closed
-101.75	43.08	11.95	closed
-99.40	43.25	11.95	closed
-101.66	43.17	11.95	closed
-101.75	43.12	11.95	closed
-102.00	43.12	11.95	closed
-102.00	43.08	11.95	closed
-99.80	43.08	11.95	closed
-99.80	43.06	11.95	closed
-101.70	43.12	11.95	closed
-101.80	43.12	11.95	closed
-100.00	42.80	11.95	closed
-99.83	43.08	11.95	closed
-99.80	42.80	11.95	closed
-99.75	42.73	11.95	closed
-100.05	42.80	11.95	closed
-100.50	42.85	11.95	closed
-100.90	42.98	11.95	closed
-101.33	43.20	11.95	closed
-101.75	42.81	11.95	closed
-101.45	42.87	11.95	closed
-99.75	42.67	11.95	closed
-99.75	42.72	11.95	closed
-100.83	42.68	11.95	closed
-100.90	42.81	11.95	closed
-100.83	42.67	11.95	closed
-100.85	42.67	11.95	closed
-101.09	42.81	11.95	closed
-100.55	42.90	11.95	closed
-99.78	42.65	11.95	closed
-99.73	42.55	11.95	closed
-148.50	64.00	19.50	closed
-149.02	63.86	17.30	closed
-148.50	64.00	13.80	closed
-148.50	64.00	8.10	closed
-118.26	33.78	13.30	open
-117.52	44.97	13.80	closed
-100.93	39.40	6.50	closed
-131.79	54.02	5.95	closed
-91.66	31.85	8.68	closed
-120.62	39.26	5.40	closed
-120.34	38.30	5.40	open
-95.75	79.75	0.00	open
-95.25	79.75	0.00	open
-94.75	79.75	0.00	open
-94.25	79.75	0.00	open
-93.75	79.75	0.00	open
-93.25	79.75	0.00	open
-92.75	79.75	0.00	open
-92.25	79.75	0.00	open
-91.75	79.75	0.00	open
-91.25	79.75	0.00	open
-90.75	79.75	0.00	open
-90.25	79.75	0.00	open
-89.75	79.75	0.00	open
-89.25	79.75	0.00	open
-88.75	79.75	0.00	open
-88.25	79.75	0.00	open
-87.75	79.75	0.00	open
-87.25	79.75	0.00	open
-86.25	79.75	0.00	open
-85.75	79.75	0.00	open
-85.25	79.75	0.00	open
-84.75	79.75	0.00	open
-84.25	79.75	0.00	open
-83.75	79.75	0.00	open
-83.25	79.75	0.00	open
-82.75	79.75	0.00	open
-82.25	79.75	0.00	open
-81.25	79.75	0.00	open
-80.75	79.75	0.00	open
-80.25	79.75	0.00	open
-79.75	79.75	0.00	open
-79.25	79.75	0.00	open
-78.75	79.75	0.00	open
-78.25	79.75	0.00	open
-77.75	79.75	0.00	open
-77.25	79.75	0.00	open
-76.75	79.75	0.00	open
-76.25	79.75	0.00	open
-75.75	79.75	0.00	open
-75.25	79.75	0.00	open
-74.75	79.75	0.00	open
-74.25	79.75	0.00	open
-73.75	79.75	0.00	open
-72.75	79.75	0.00	open
-64.75	79.75	0.00	open
-64.25	79.75	0.00	open
-63.75	79.75	0.00	open
-63.25	79.75	0.00	open
-62.75	79.75	0.00	open
-62.25	79.75	0.00	open
-61.75	79.75	0.00	open
