x	y	veg
-95.75	79.75	1
-95.25	79.75	1
-94.75	79.75	1
-94.25	79.75	1
-93.75	79.75	1
-93.25	79.75	1
-92.75	79.75	1
-92.25	79.75	1
-91.75	79.75	1
-91.25	79.75	1
-90.75	79.75	1
-90.25	79.75	1
-89.75	79.75	1
-89.25	79.75	1
-88.75	79.75	1
-88.25	79.75	1
-87.75	79.75	1
-87.25	79.75	1
-86.25	79.75	1
-85.75	79.75	1
-85.25	79.75	1
-84.75	79.75	1
-84.25	79.75	1
-83.75	79.75	1
-83.25	79.75	1
-82.75	79.75	1
-82.25	79.75	1
-81.25	79.75	1
-80.75	79.75	1
-80.25	79.75	1
-79.75	79.75	1
-79.25	79.75	1
-78.75	79.75	1
-78.25	79.75	1
-77.75	79.75	1
-77.25	79.75	1
-76.75	79.75	1
-76.25	79.75	1
-75.75	79.75	1
-75.25	79.75	1
-74.75	79.75	1
-74.25	79.75	1
-73.75	79.75	1
-72.75	79.75	1
-64.75	79.75	1
-64.25	79.75	1
-63.75	79.75	1
-63.25	79.75	1
-62.75	79.75	1
-62.25	79.75	1
-61.75	79.75	1
-61.25	79.75	1
-60.75	79.75	1
-60.25	79.75	1
-59.75	79.75	1
-59.25	79.75	1
-58.75	79.75	1
-58.25	79.75	1
-57.75	79.75	1
-57.25	79.75	1
-56.75	79.75	1
-56.25	79.75	1
-55.75	79.75	1
-55.25	79.75	1
-54.75	79.75	1
-54.25	79.75	1
-53.75	79.75	1
-53.25	79.75	1
-52.75	79.75	1
-52.25	79.75	1
-92.25	79.25	1
-91.75	79.25	1
-91.25	79.25	1
-90.75	79.25	1
-90.25	79.25	1
-89.75	79.25	1
-89.25	79.25	1
-88.75	79.25	1
-88.25	79.25	1
-87.75	79.25	1
-87.25	79.25	1
-86.75	79.25	1
-86.25	79.25	1
-84.25	79.25	1
-83.75	79.25	1
-83.25	79.25	1
-82.75	79.25	1
-82.25	79.25	1
-81.75	79.25	1
-81.25	79.25	1
-80.75	79.25	1
-80.25	79.25	1
-79.75	79.25	1
-79.25	79.25	1
-78.75	79.25	1
-78.25	79.25	1
-77.75	79.25	1
-65.25	79.25	1
-64.75	79.25	1
-64.25	79.25	1
-63.75	79.25	1
-63.25	79.25	1
-62.75	79.25	1
-62.25	79.25	1
-61.75	79.25	1
-61.25	79.25	1
-60.75	79.25	1
-60.25	79.25	1
-59.75	79.25	1
-59.25	79.25	1
-58.75	79.25	1
-58.25	79.25	1
-57.75	79.25	1
-57.25	79.25	1
-56.75	79.25	1
-56.25	79.25	1
-55.75	79.25	1
-55.25	79.25	1
-54.75	79.25	1
-54.25	79.25	1
-53.75	79.25	1
-53.25	79.25	1
-52.75	79.25	1
-52.25	79.25	1
-103.25	78.75	1
-102.75	78.75	1
-102.25	78.75	1
-101.75	78.75	1
-101.25	78.75	1
