x	y	veg	x_albers	y_albers
-95.75	79.75	1	11320	5625994
-95.25	79.75	1	33958	5626113
-94.75	79.75	1	56596	5626352
-94.25	79.75	1	79233	5626709
-93.75	79.75	1	101867	5627185
-93.25	79.75	1	124498	5627781
-92.75	79.75	1	147126	5628495
-92.25	79.75	1	169750	5629329
-91.75	79.75	1	192369	5630282
-91.25	79.75	1	214983	5631353
-90.75	79.75	1	237591	5632544
-90.25	79.75	1	260192	5633853
-89.75	79.75	1	282786	5635282
-89.25	79.75	1	305373	5636829
-88.75	79.75	1	327951	5638495
-88.25	79.75	1	350519	5640280
-87.75	79.75	1	373078	5642183
-87.25	79.75	1	395627	5644206
-86.25	79.75	1	440691	5648606
-85.75	79.75	1	463205	5650984
-85.25	79.75	1	485706	5653480
-84.75	79.75	1	508194	5656095
-84.25	79.75	1	530667	5658827
-83.75	79.75	1	553126	5661679
-83.25	79.75	1	575570	5664648
-82.75	79.75	1	597998	5667735
-82.25	79.75	1	620409	5670940
-81.25	79.75	1	665179	5677704
-80.75	79.75	1	687537	5681263
-80.25	79.75	1	709876	5684939
-79.75	79.75	1	732195	5688733
-79.25	79.75	1	754494	5692643
-78.75	79.75	1	776772	5696672
-78.25	79.75	1	799028	5700817
-77.75	79.75	1	821262	5705080
-77.25	79.75	1	843474	5709459
-76.75	79.75	1	865662	5713955
-76.25	79.75	1	887826	5718568
-75.75	79.75	1	909966	5723297
-75.25	79.75	1	932081	5728143
-74.75	79.75	1	954169	5733105
-74.25	79.75	1	976232	5738183
-73.75	79.75	1	998267	5743378
-72.75	79.75	1	1042254	5754114
-64.75	79.75	1	1389590	5856532
-64.25	79.75	1	1410996	5863899
-63.75	79.75	1	1432364	5871379
-63.25	79.75	1	1453693	5878971
-62.75	79.75	1	1474980	5886676
-62.25	79.75	1	1496228	5894492
-61.75	79.75	1	1517433	5902420
-61.25	79.75	1	1538597	5910459
-60.75	79.75	1	1559718	5918610
-60.25	79.75	1	1580796	5926872
-59.75	79.75	1	1601830	5935244
-59.25	79.75	1	1622820	5943727
-58.75	79.75	1	1643765	5952320
-58.25	79.75	1	1664664	5961024
-57.75	79.75	1	1685518	5969837
-57.25	79.75	1	1706324	5978760
-56.75	79.75	1	1727084	5987792
-56.25	79.75	1	1747795	5996933
-55.75	79.75	1	1768459	6006183
-55.25	79.75	1	1789073	6015542
-54.75	79.75	1	1809638	6025009
-54.25	79.75	1	1830152	6034584
-53.75	79.75	1	1850616	6044267
-53.25	79.75	1	1871029	6054057
-52.75	79.75	1	1891390	6063955
-52.25	79.75	1	1911699	6073960
-92.25	79.25	1	170737	5604327
-91.75	79.25	1	193488	5605285
-91.25	79.25	1	216233	5606363
-90.75	79.25	1	238973	5607561
-90.25	79.25	1	261705	5608878
-89.75	79.25	1	284431	5610314
-89.25	79.25	1	307148	5611871
-88.75	79.25	1	329858	5613546
-88.25	79.25	1	352558	5615342
-87.75	79.25	1	375248	5617256
-87.25	79.25	1	397928	5619290
-86.75	79.25	1	420596	5621443
-86.25	79.25	1	443254	5623716
-84.25	79.25	1	533753	5633997
-83.75	79.25	1	556343	5636865
-83.25	79.25	1	578917	5639851
-82.75	79.25	1	601475	5642956
-82.25	79.25	1	624017	5646180
-81.75	79.25	1	646541	5649523
-81.25	79.25	1	669047	5652983
-80.75	79.25	1	691535	5656563
-80.25	79.25	1	714004	5660260
-79.75	79.25	1	736452	5664076
-79.25	79.25	1	758881	5668010
-78.75	79.25	1	781288	5672061
-78.25	79.25	1	803674	5676231
-77.75	79.25	1	826038	5680518
-65.25	79.25	1	1376100	5825554
-64.75	79.25	1	1397670	5832851
-64.25	79.25	1	1419201	5840261
-63.75	79.25	1	1440693	5847785
-63.25	79.25	1	1462146	5855421
-62.75	79.25	1	1483557	5863170
-62.25	79.25	1	1504928	5871032
-61.75	79.25	1	1526257	5879006
-61.25	79.25	1	1547544	5887092
-60.75	79.25	1	1568788	5895290
-60.25	79.25	1	1589988	5903600
-59.75	79.25	1	1611145	5912021
-59.25	79.25	1	1632257	5920553
-58.75	79.25	1	1653323	5929196
-58.25	79.25	1	1674344	5937950
-57.75	79.25	1	1695319	5946815
-57.25	79.25	1	1716246	5955790
-56.75	79.25	1	1737127	5964874
-56.25	79.25	1	1757959	5974069
-55.75	79.25	1	1778742	5983372
-55.25	79.25	1	1799476	5992786
-54.75	79.25	1	1820161	6002308
-54.25	79.25	1	1840795	6011938
-53.75	79.25	1	1861378	6021678
-53.25	79.25	1	1881909	6031525
-52.75	79.25	1	1902388	6041480
-52.25	79.25	1	1922815	6051543
-103.25	78.75	1	-331842	5587579
-102.75	78.75	1	-308997	5585893
-102.25	78.75	1	-286142	5584327
-101.75	78.75	1	-263280	5582882
-101.25	78.75	1	-240411	5581557
-93.25	78.75	1	125976	5576737
-92.75	78.75	1	148872	5577460
-92.25	78.75	1	171765	5578304
-91.75	78.75	1	194652	5579268
-91.25	78.75	1	217534	5580352
-90.75	78.75	1	240411	5581557
-90.25	78.75	1	263280	5582882
-89.75	78.75	1	286142	5584327
-89.25	78.75	1	308997	5585893
-88.75	78.75	1	331842	5587579
-88.25	78.75	1	354679	5589385
-86.25	78.75	1	445921	5597809
-85.75	78.75	1	468702	5600215
-85.25	78.75	1	491470	5602741
-84.75	78.75	1	514225	5605387
-84.25	78.75	1	536965	5608152
-83.75	78.75	1	559691	5611037
-82.75	78.75	1	605095	5617166
-82.25	78.75	1	627772	5620409
-81.75	78.75	1	650431	5623771
-81.25	78.75	1	673073	5627253
-80.75	78.75	1	695696	5630854
-80.25	78.75	1	718300	5634574
-79.75	78.75	1	740884	5638412
-79.25	78.75	1	763448	5642370
-78.75	78.75	1	785990	5646446
-78.25	78.75	1	808510	5650640
-77.75	78.75	1	831009	5654953
-77.25	78.75	1	853484	5659385
-76.75	78.75	1	875935	5663934
-76.25	78.75	1	898363	5668602
-69.25	78.75	1	1209453	5746266
-68.75	78.75	1	1231442	5752687
-68.25	78.75	1	1253398	5759224
-67.75	78.75	1	1275319	5765876
-67.25	78.75	1	1297204	5772644
-66.75	78.75	1	1319053	5779526
-66.25	78.75	1	1340867	5786524
-65.75	78.75	1	1362642	5793636
-65.25	78.75	1	1384381	5800862
-64.75	78.75	1	1406080	5808203
-64.25	78.75	1	1427741	5815658
-63.75	78.75	1	1449363	5823226
-63.25	78.75	1	1470944	5830909
-62.75	78.75	1	1492485	5838704
-62.25	78.75	1	1513984	5846614
-61.75	78.75	1	1535441	5854636
-61.25	78.75	1	1556856	5862770
-60.75	78.75	1	1578228	5871018
-60.25	78.75	1	1599556	5879377
-59.75	78.75	1	1620840	5887849
-59.25	78.75	1	1642079	5896433
-58.75	78.75	1	1663272	5905128
-58.25	78.75	1	1684420	5913935
-57.75	78.75	1	1705520	5922853
-57.25	78.75	1	1726574	5931881
-56.75	78.75	1	1747580	5941021
-56.25	78.75	1	1768537	5950270
-55.75	78.75	1	1789446	5959630
-55.25	78.75	1	1810305	5969100
-54.75	78.75	1	1831113	5978679
-54.25	78.75	1	1851871	5988368
-53.75	78.75	1	1872578	5998166
-53.25	78.75	1	1893233	6008072
-52.75	78.75	1	1913836	6018087
-52.25	78.75	1	1934386	6028211
-101.25	78.25	1	-241904	5554553
-100.75	78.25	1	-218886	5553341
-100.25	78.25	1	-195861	5552250
-97.25	78.25	1	-57624	5548248
-96.75	78.25	1	-34575	5548006
-96.25	78.25	1	-11525	5547884
-95.75	78.25	1	11525	5547884
-91.25	78.25	1	218886	5553341
-86.75	78.25	1	425756	5568606
-86.25	78.25	1	448691	5570906
-85.75	78.25	1	471613	5573327
-85.25	78.25	1	494523	5575869
-84.75	78.25	1	517419	5578531
-84.25	78.25	1	540301	5581314
-83.75	78.25	1	563167	5584216
-83.25	78.25	1	586018	5587240
-82.75	78.25	1	608853	5590383
-82.25	78.25	1	631671	5593646
-81.75	78.25	1	654472	5597030
-81.25	78.25	1	677254	5600533
-80.75	78.25	1	700018	5604156
-80.25	78.25	1	722762	5607899
-79.75	78.25	1	745486	5611761
-79.25	78.25	1	768190	5615743
-78.75	78.25	1	790872	5619845
-78.25	78.25	1	813533	5624065
-77.75	78.25	1	836170	5628405
-77.25	78.25	1	858785	5632864
-76.75	78.25	1	881376	5637442
-76.25	78.25	1	903943	5642139
-72.25	78.25	1	1083523	5683971
-71.75	78.25	1	1105842	5689731
