index	Latitude	Longitude	Age Max	Age Min	ID	Openness	mean_age
0	74.3	-123.033	16.0	14.0	1	Closed	15.0
1	74.3	-123.033	16.0	14.0	2	Closed	15.0
2	74.3	-123.033	16.0	14.0	3	Closed	15.0
3	74.3	-123.033	16.0	14.0	4	Closed	15.0
4	74.3	-123.033	16.0	14.0	5	Closed	15.0
5	67.333	-141.333	15.3	15.1	6	Closed	15.2
6	67.333	-141.333	15.3	15.1	7	Closed	15.2
7	67.333	-141.333	15.3	15.1	8	Closed	15.2
8	67.333	-141.333	15.3	15.1	9	Closed	15.2
9	67.333	-141.333	15.3	15.1	10	Closed	15.2
10	67.333	-141.333	15.3	15.1	11	Closed	15.2
11	67.333	-141.333	15.3	15.1	12	Closed	15.2
12	67.333	-141.333	15.3	15.1	13	Closed	15.2
13	67.333	-141.333	15.3	15.1	14	Closed	15.2
14	67.333	-141.333	15.3	15.1	15	Closed	15.2
15	67.333	-141.333	15.3	15.1	16	Closed	15.2
16	67.333	-141.333	15.3	15.1	17	Closed	15.2
17	67.333	-141.333	15.3	15.1	18	Closed	15.2
18	67.333	-141.333	15.3	15.1	19	Closed	15.2
19	67.333	-141.333	15.3	15.1	20	Closed	15.2
20	67.333	-141.333	15.3	15.1	21	Closed	15.2
21	67.333	-141.333	15.3	15.1	22	Closed	15.2
22	67.333	-141.333	15.3	15.1	23	Closed	15.2
23	67.333	-141.333	15.3	15.1	24	Closed	15.2
24	67.333	-141.333	15.3	15.1	25	Closed	15.2
25	67.333	-141.333	15.3	15.1	26	Closed	15.2
26	67.333	-141.333	15.3	15.1	27	Closed	15.2
27	67.333	-141.333	15.3	15.1	28	Closed	15.2
28	67.333	-141.333	15.3	15.1	29	Closed	15.2
29	67.333	-141.333	15.3	15.1	30	Closed	15.2
30	67.333	-141.333	15.3	15.1	31	Closed	15.2
31	63.9	-148.941	17.0	14.0	33	Closed	15.5
32	64.083333	-141.916667	3.1	2.7	34	Open	2.9000000000000004
33	63.233333	-145.616667	5.26	5.26	35	Open	5.26
34	65.883333	-163.116667	5.9	5.5	36	Closed	5.7
35	67.15	-142.133333	6.59	6.55	37	Closed	6.57
36	63.866667	-148.85	8.0	8.0	38	Closed	8.0
37	63.866667	-148.85	9.7	9.7	39	Closed	9.7
38	63.866667	-148.85	11.3	11.3	40	Closed	11.3
39	63.866667	-148.85	13.4	13.4	41	Closed	13.4
