index	Latitude	Longitude	Age.Max	Age.Min	Openness	mean_age	age_bin	paleolat	paleolon
3	74.3	-123.033	16	14	Closed	15	15	75.13	-118.54
9	67.333	-141.333	15.3	15.1	Closed	15.2	15	68.29	-138.22
31	63.9	-148.941	17	14	Closed	15.5	16	64.96	-146.01
32	64.083333	-141.916667	3.1	2.7	Open	2.9	3	64.26	-141.33
33	63.233333	-145.616667	5.26	5.26	Open	5.26	5	63.35	-143.8
34	65.883333	-163.116667	5.9	5.5	Closed	5.7	6	66.24	-162.24
35	67.15	-142.133333	6.59	6.55	Closed	6.57	7	67.57	-140.74
36	63.866667	-148.85	8	8	Closed	8	8	64.35	-147.4
37	63.866667	-148.85	9.7	9.7	Closed	9.7	10	64.47	-147.02
38	63.866667	-148.85	11.3	11.3	Closed	11.3	11	64.55	-146.84
39	63.866667	-148.85	13.4	13.4	Closed	13.4	13	64.7	-146.47
40	63.866667	-148.85	14	14	Closed	14	14	64.77	-146.29
41	63.866667	-148.85	14.6	14.6	Closed	14.6	15	64.85	-146.1
42	63.866667	-148.85	15	15	Closed	15	15	64.85	-146.1
43	63.866667	-148.85	16	16	Closed	16	16	64.93	-145.91
53	39.781	-123.235	15.97	11.61	Closed	13.79	14	39.63	-118.44
54	52.467	-125.3167	12	8	Closed	10	10	53.01	-123.19
55	52.0164	-125.353	12	8	Closed	10	10	52.55	-123.27
56	51.9194	-123.0417	12	8	Closed	10	10	52.45	-120.9
57	52.9833	-122.4833	12	8	Closed	10	10	53.51	-120.32
58	50.886	-120.7844	12	8	Closed	10	10	51.41	-118.63
61	44.5	-119.633	7.5	7.3	Open	7.4	7	44.43	-117.28
99	37.5406	-77.4358	16	11.6	Closed	13.8	14	37.74	-74.37
100	30.468	-84.986	18	15	Closed	16.5	16	30.82	-81.71
101	46.342	-115.789	12.5	10.5	Closed	11.5	12	46.26	-111.79
102	43	-116.55	10.5	8.5	Closed	9.5	10	42.92	-113.16
103	38.548	-75.062	11.6	5.3	Closed	8.45	8	38.67	-73.27
110	38.548	-75.062	11.7	9.6	Closed	10.65	11	38.7	-72.61
113	38.548	-75.062	11.9	10.2	Closed	11.05	11	38.7	-72.61
116	38.548	-75.062	17	14	Closed	15.5	16	38.72	-71.54
120	38.548	-75.062	20.8	17	Closed	18.9	19	38.73	-70.9
127	34.583	-112.418	11.6	3.6	Closed	7.6	8	34.96	-110.79
128	40.034	-74.333	11	11	Closed	11	11	40.17	-71.85
129	78.257	-75.155	3.6	2.6	Open	3.1	3	78.3	-73.78
131	78.257	-75.155	11.6	3.6	Closed	7.6	8	78.37	-71.45
252	29.285	-82.339	13.6	4.9	Open	9.25	9	29.48	-80.46
253	47.925	-119.071	11.6	5.3	Closed	8.45	8	48.34	-117.37
254	42.808	-101.032	7.2	5.3	Open	6.25	6	43.04	-99.71
255	46.506	-120.541	11.6	3.6	Closed	7.6	8	46.42	-117.87
256	46.657	-120.522	11.6	3.6	Closed	7.6	8	46.57	-117.86
259	46.702	-120.547	11.6	3.6	Closed	7.6	8	46.61	-117.88
260	46.818	-120.645	11.6	5.3	Closed	8.45	8	46.73	-117.98
261	46.901	-120.467	11.6	5.3	Closed	8.45	8	46.81	-117.8
262	42.101	-114.021	16	11.6	Closed	13.8	14	42.6	-110.62
263	39.422	-119.296	14.8	13.3	Closed	14.05	14	39.31	-114.5
264	36.562	-121.886	16	5.3	Closed	10.65	11	35.96	-118.44
265	63.85	-148.96	11.6	6.7	Closed	9.15	9	64.4	-147.33
266	38.5	-120.01	7	7	Closed	7	7	38.43	-117.6
268	35.97	-120.02	5	5	Open	5	5	35.92	-118.28
269	79.934	-99.242	5.3	3.6	Open	4.45	4	80.09	-97.46
270	71.584	-131.217	16	11.6	Closed	13.8	14	72.42	-127.71
271	75.105	-87.101	23	16	Closed	19.5	20	75.52	-78.81
272	38.58	-122.67	5.3	2.6	Closed	3.95	4	38.53	-121.29
274	38.4	-122.64	5.3	2.6	Closed	3.95	4	38.35	-121.26
275	38.4	-122.67	5.3	2.6	Closed	3.95	4	38.35	-121.29
276	38.51	-122.72	5.3	2.6	Closed	3.95	4	38.46	-121.34
277	38.193	-122.53	5.3	2.6	Closed	3.95	4	38.14	-121.15
278	37.85	-122.11	5.3	2.6	Closed	3.95	4	37.8	-120.73
279	37.88	-122.14	5.3	2.6	Closed	3.95	4	37.83	-120.76
280	37.69	-122.5	5.3	2.6	Closed	3.95	4	37.64	-121.12
281	37.28	-122.04	5.3	2.6	Closed	3.95	4	37.23	-120.66
282	40.12	-123.8	5.3	2.6	Closed	3.95	4	40.07	-122.43
283	40.12	-123.81	5.3	2.6	Closed	3.95	4	40.07	-122.44
284	40.06	-123.73	5.3	2.6	Closed	3.95	4	40.01	-122.36
285	41.49	-120.45	3.6	2.6	Closed	3.1	3	41.46	-119.43
286	36.05	-120.28	5.3	2.6	Closed	3.95	4	36.01	-118.89
287	34.35	-119.28	5.3	2.6	Closed	3.95	4	34.14	-118.02
290	54.02	-132.02	11.6	2.6	Closed	7.1	7	54.41	-130.62
298	47.043	-123.778	11.6	5.3	Closed	8.45	8	46.93	-121.11
304	31.088	-93.059	13	11.5	Closed	12.25	12	31.46	-90.58
305	53.085	-122.599	11.6	5.3	Closed	8.45	8	53.51	-120.87
306	44.715	-118.171	11.3	5.3	Closed	8.3	8	44.64	-115.48
307	44.715	-118.171	11.6	5.3	Closed	8.45	8	44.64	-115.48
308	69.33	-135.75	3.6	2.6	Closed	3.1	3	69.51	-135.1
309	69.33	-135.75	5.3	2.6	Closed	3.95	4	69.56	-134.88
310	69.33	-135.75	23	11.6	Open	17.3	17	70.4	-131.82
311	40.93	-104.8	23.5	19.2	Closed	21.35	21	41.79	-100.31
313	40.78	-104.03	18.7	18.7	Open	18.7	19	41.56	-99.99
314	40.99	-103.92	18.7	17.2	Open	17.95	18	41.73	-100.08
315	40.89	-103.94	14.4	14.4	Open	14.4	14	41.47	-100.94
316	40.89	-103.94	14.1	14.1	Open	14.1	14	41.47	-100.94
317	40.89	-103.94	14.4	14.1	Closed	14.25	14	41.47	-100.94
318	40.78	-104.03	13.3	13.3	Open	13.3	13	41.32	-101.25
319	40.74	-103.89	11.5	11.5	Closed	11.5	12	41.23	-101.31
320	46.71	-110.98	27.5	27.5	Closed	27.5	28	47.82	-104.47
321	46.71	-113.06	27.5	27.5	Open	27.5	28	47.89	-106.6
322	46.01	-111.92	27.5	20.8	Closed	24.15	24	47.08	-106.55
323	45.99	-111.85	19	19	Closed	19	19	46.9	-107.74
324	44.78	-113.26	23	19	Closed	21	21	45.54	-108.19
325	44.79	-113.25	17.2	17.2	Open	17.2	17	45.41	-109.18
326	44.79	-113.25	16.7	16.7	Open	16.7	17	45.41	-109.18
327	44.79	-113.25	16.3	16.3	Open	16.3	16	45.37	-109.42
328	44.8	-113.25	15.2	15.2	Open	15.2	15	45.35	-109.65
329	44.8	-113.25	15.1	15.1	Open	15.1	15	45.35	-109.65
330	44.93	-112.55	15.8	15.8	Open	15.8	16	45.71	-109.13
331	45.75	-111.43	15.3	13	Closed	14.15	14	46.41	-108.4
332	45.9	-114.2	15.8	11	Open	13.4	13	46.36	-111.11
333	42.76	-103.53	29	29	Closed	29	29	43.62	-96.93
334	42.3	-103.68	28.4	28.4	Closed	28.4	28	43.16	-97.36
335	42.65	-104.77	28.4	28.4	Closed	28.4	28	43.55	-98.44
336	42.75	-103.93	28.1	28.1	Closed	28.1	28	43.62	-97.59
337	42.75	-103.93	27.9	27.9	Closed	27.9	28	43.62	-97.59
338	42.75	-103.93	26.2	26.2	Closed	26.2	26	43.62	-98.09
