index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness
3	74.3	-123.03299999999999	16.0	14.0	15.0	15	75.13	-118.54	Closed
9	67.333	-141.333	15.3	15.1	15.2	15	68.29	-138.22	Closed
31	63.9	-148.941	17.0	14.0	15.5	16	64.96	-146.01	Closed
32	64.083333	-141.916667	3.1	2.7	2.9	3	64.26	-141.33	Open
33	63.233332999999995	-145.616667	5.26	5.26	5.26	5	63.35	-143.8	Open
34	65.883333	-163.116667	5.9	5.5	5.7	6	66.24	-162.24	Closed
35	67.15	-142.133333	6.59	6.55	6.57	7	67.57	-140.74	Closed
36	63.86666700000001	-148.85	8.0	8.0	8.0	8	64.35	-147.4	Closed
37	63.86666700000001	-148.85	9.7	9.7	9.7	10	64.47	-147.02	Closed
38	63.86666700000001	-148.85	11.3	11.3	11.3	11	64.55	-146.84	Closed
39	63.86666700000001	-148.85	13.4	13.4	13.4	13	64.7	-146.47	Closed
40	63.86666700000001	-148.85	14.0	14.0	14.0	14	64.77	-146.29	Closed
41	63.86666700000001	-148.85	14.6	14.6	14.6	15	64.85	-146.1	Closed
42	63.86666700000001	-148.85	15.0	15.0	15.0	15	64.85	-146.1	Closed
43	63.86666700000001	-148.85	16.0	16.0	16.0	16	64.93	-145.91	Closed
53	39.781	-123.235	15.97	11.61	13.79	14	39.63	-118.44	Closed
54	52.467	-125.3167	12.0	8.0	10.0	10	53.01	-123.19	Closed
55	52.0164	-125.353	12.0	8.0	10.0	10	52.55	-123.27	Closed
56	51.9194	-123.0417	12.0	8.0	10.0	10	52.45	-120.9	Closed
57	52.9833	-122.4833	12.0	8.0	10.0	10	53.51	-120.32	Closed
58	50.886	-120.7844	12.0	8.0	10.0	10	51.41	-118.63	Closed
61	44.5	-119.633	7.5	7.3	7.4	7	44.43	-117.28	Open
99	37.5406	-77.4358	16.0	11.6	13.8	14	37.74	-74.37	Closed
100	30.468000000000004	-84.986	18.0	15.0	16.5	16	30.82	-81.71	Closed
101	46.342	-115.789	12.5	10.5	11.5	12	46.26	-111.79	Closed
102	43.0	-116.55	10.5	8.5	9.5	10	42.92	-113.16	Closed
103	38.548	-75.062	11.6	5.3	8.45	8	38.67	-73.27	Closed
110	38.548	-75.062	11.7	9.6	10.65	11	38.7	-72.61	Closed
113	38.548	-75.062	11.9	10.2	11.05	11	38.7	-72.61	Closed
116	38.548	-75.062	17.0	14.0	15.5	16	38.72	-71.54	Closed
120	38.548	-75.062	20.8	17.0	18.9	19	38.73	-70.9	Closed
127	34.583	-112.41799999999999	11.6	3.6	7.6	8	34.96	-110.79	Closed
128	40.034	-74.333	11.0	11.0	11.0	11	40.17	-71.85	Closed
129	78.257	-75.155	3.6	2.6	3.1	3	78.3	-73.78	Open
131	78.257	-75.155	11.6	3.6	7.6	8	78.37	-71.45	Closed
252	29.285	-82.339	13.6	4.9	9.25	9	29.48	-80.46	Open
253	47.925	-119.071	11.6	5.3	8.45	8	48.34	-117.37	Closed
254	42.808	-101.03200000000001	7.2	5.3	6.25	6	43.04	-99.71	Open
255	46.506	-120.541	11.6	3.6	7.6	8	46.42	-117.87	Closed
256	46.657	-120.522	11.6	3.6	7.6	8	46.57	-117.86	Closed
259	46.702	-120.54700000000001	11.6	3.6	7.6	8	46.61	-117.88	Closed
260	46.818000000000005	-120.645	11.6	5.3	8.45	8	46.73	-117.98	Closed
261	46.901	-120.46700000000001	11.6	5.3	8.45	8	46.81	-117.8	Closed
262	42.101000000000006	-114.021	16.0	11.6	13.8	14	42.6	-110.62	Closed
263	39.422	-119.296	14.8	13.3	14.05	14	39.31	-114.5	Closed
264	36.562	-121.88600000000001	16.0	5.3	10.65	11	35.96	-118.44	Closed
265	63.85	-148.96	11.6	6.7	9.15	9	64.4	-147.33	Closed
266	38.5	-120.01	7.0	7.0	7.0	7	38.43	-117.6	Closed
268	35.97	-120.02	5.0	5.0	5.0	5	35.92	-118.28	Open
269	79.934	-99.242	5.3	3.6	4.45	4	80.09	-97.46	Open
270	71.584	-131.217	16.0	11.6	13.8	14	72.42	-127.71	Closed
271	75.105	-87.101	23.0	16.0	19.5	20	75.52	-78.81	Closed
272	38.58	-122.67	5.3	2.6	3.95	4	38.53	-121.29	Closed
274	38.4	-122.64	5.3	2.6	3.95	4	38.35	-121.26	Closed
275	38.4	-122.67	5.3	2.6	3.95	4	38.35	-121.29	Closed
276	38.51	-122.72	5.3	2.6	3.95	4	38.46	-121.34	Closed
277	38.193000000000005	-122.53	5.3	2.6	3.95	4	38.14	-121.15	Closed
278	37.85	-122.11	5.3	2.6	3.95	4	37.8	-120.73	Closed
279	37.88	-122.14	5.3	2.6	3.95	4	37.83	-120.76	Closed
280	37.69	-122.5	5.3	2.6	3.95	4	37.64	-121.12	Closed
281	37.28	-122.04	5.3	2.6	3.95	4	37.23	-120.66	Closed
282	40.12	-123.8	5.3	2.6	3.95	4	40.07	-122.43	Closed
283	40.12	-123.81	5.3	2.6	3.95	4	40.07	-122.44	Closed
284	40.06	-123.73	5.3	2.6	3.95	4	40.01	-122.36	Closed
285	41.49	-120.45	3.6	2.6	3.1	3	41.46	-119.43	Closed
286	36.05	-120.28	5.3	2.6	3.95	4	36.01	-118.89	Closed
287	34.35	-119.28	5.3	2.6	3.95	4	34.14	-118.02	Closed
290	54.02	-132.02	11.6	2.6	7.1	7	54.41	-130.62	Closed
298	47.043	-123.77799999999999	11.6	5.3	8.45	8	46.93	-121.11	Closed
304	31.088	-93.059	13.0	11.5	12.25	12	31.46	-90.58	Closed
305	53.085	-122.59899999999999	11.6	5.3	8.45	8	53.51	-120.87	Closed
306	44.715	-118.171	11.3	5.3	8.3	8	44.64	-115.48	Closed
307	44.715	-118.171	11.6	5.3	8.45	8	44.64	-115.48	Closed
308	69.33	-135.75	3.6	2.6	3.1	3	69.51	-135.1	Closed
309	69.33	-135.75	5.3	2.6	3.95	4	69.56	-134.88	Closed
310	69.33	-135.75	23.0	11.6	17.3	17	70.4	-131.82	Open
311	40.93	-104.8	23.5	19.2	21.35	21	41.79	-100.31	Closed
313	40.78	-104.03	18.7	18.7	18.7	19	41.56	-99.99	Open
314	40.99	-103.92	18.7	17.2	17.95	18	41.73	-100.08	Open
315	40.89	-103.94	14.4	14.4	14.4	14	41.47	-100.94	Open
316	40.89	-103.94	14.1	14.1	14.1	14	41.47	-100.94	Open
317	40.89	-103.94	14.4	14.1	14.25	14	41.47	-100.94	Closed
318	40.78	-104.03	13.3	13.3	13.3	13	41.32	-101.25	Open
319	40.74	-103.89	11.5	11.5	11.5	12	41.23	-101.31	Closed
320	46.71	-110.98	27.5	27.5	27.5	28	47.82	-104.47	Closed
321	46.71	-113.06	27.5	27.5	27.5	28	47.89	-106.6	Open
322	46.01	-111.92	27.5	20.8	24.15	24	47.08	-106.55	Closed
323	45.99	-111.85	19.0	19.0	19.0	19	46.9	-107.74	Closed
324	44.78	-113.26	23.0	19.0	21.0	21	45.54	-108.19	Closed
325	44.79	-113.25	17.2	17.2	17.2	17	45.41	-109.18	Open
326	44.79	-113.25	16.7	16.7	16.7	17	45.41	-109.18	Open
327	44.79	-113.25	16.3	16.3	16.3	16	45.37	-109.42	Open
328	44.8	-113.25	15.2	15.2	15.2	15	45.35	-109.65	Open
329	44.8	-113.25	15.1	15.1	15.1	15	45.35	-109.65	Open
330	44.93	-112.55	15.8	15.8	15.8	16	45.71	-109.13	Open
331	45.75	-111.43	15.3	13.0	14.15	14	46.41	-108.4	Closed
332	45.9	-114.2	15.8	11.0	13.4	13	46.36	-111.11	Open
333	42.76	-103.53	29.0	29.0	29.0	29	43.62	-96.93	Closed
334	42.3	-103.68	28.4	28.4	28.4	28	43.16	-97.36	Closed
335	42.65	-104.77	28.4	28.4	28.4	28	43.55	-98.44	Closed
336	42.75	-103.93	28.1	28.1	28.1	28	43.62	-97.59	Closed
337	42.75	-103.93	27.9	27.9	27.9	28	43.62	-97.59	Closed
338	42.75	-103.93	26.2	26.2	26.2	26	43.62	-98.09	Closed
339	42.75	-103.93	26.0	26.0	26.0	26	43.62	-98.09	Closed
340	42.75	-103.93	25.9	25.9	25.9	26	43.62	-98.09	Open
341	42.03	-103.88	26.5	26.5	26.5	26	42.9	-98.08	Closed
342	42.72	-103.01	25.0	25.0	25.0	25	43.56	-97.41	Closed
343	42.69	-103.93	20.0	20.0	20.0	20	43.51	-99.61	Open
344	42.69	-103.93	19.8	19.8	19.8	20	43.51	-99.61	Open
345	42.69	-103.93	19.5	19.5	19.5	20	43.51	-99.61	Open
346	42.43	-103.46	24.0	24.0	24.0	24	43.28	-98.14	Open
347	41.7	-103.72	19.2	19.2	19.2	19	42.48	-99.64	Open
348	42.42	-103.76	19.1	19.1	19.1	19	43.2	-99.66	Open
349	42.67	-104.02	19.1	19.1	19.1	19	43.45	-99.91	Open
350	42.43	-103.46	19.1	19.1	19.1	19	43.2	-99.35	Open
351	42.34	-104.06	19.1	19.1	19.1	19	43.12	-99.96	Open
352	42.34	-104.06	18.9	18.9	18.9	19	43.12	-99.96	Open
353	42.42	-103.76	18.9	18.9	18.9	19	43.2	-99.66	Open
354	42.6	-104.01	18.9	18.9	18.9	19	43.38	-99.91	Open
355	42.81	-101.77	19.1	19.1	19.1	19	43.55	-97.63	Open
356	42.43	-103.37	18.5	18.5	18.5	18	43.16	-99.48	Open
357	42.48	-103.04	18.1	18.1	18.1	18	43.2	-99.14	Open
358	42.77	-102.02	18.1	18.1	18.1	18	43.48	-98.1	Open
360	42.56	-102.59	17.5	17.5	17.5	18	43.28	-98.68	Open
