index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness	x_albers	y_albers	x_paleo_albers	y_paleo_albers
3	74.3	-123.033	16	14	15	15	75.13	-118.54	Closed	-1298653	5487391	-1074052	5485750
9	67.333	-141.333	15.3	15.1	15.2	15	68.29	-138.22	Closed	-2378254	5327342	-2190498	5327073
31	63.9	-148.941	17	14	15.5	16	64.96	-146.01	Closed	-2904686	5265680	-2709587	5264261
32	64.083333	-141.916667	3.1	2.7	2.9	3	64.26	-141.33	Open	-2544335	5079257	-2506706	5078430
33	63.233333	-145.616667	5.26	5.26	5.26	5	63.35	-143.8	Open	-2771488	5111901	-2673521	5069588
34	65.883333	-163.116667	5.9	5.5	5.7	6	66.24	-162.24	Closed	-3445872	5889320	-3387701	5882502
35	67.15	-142.133333	6.59	6.55	6.57	7	67.57	-140.74	Closed	-2424455	5333254	-2340059	5331131
36	63.866667	-148.85	8	8	8	8	64.35	-147.4	Closed	-2901886	5260219	-2806842	5255572
37	63.866667	-148.85	9.7	9.7	9.7	10	64.47	-147.02	Closed	-2901886	5260219	-2782376	5254058
38	63.866667	-148.85	11.3	11.3	11.3	11	64.55	-146.84	Closed	-2901886	5260219	-2769699	5255240
39	63.866667	-148.85	13.4	13.4	13.4	13	64.7	-146.47	Closed	-2901886	5260219	-2744385	5256573
40	63.866667	-148.85	14	14	14	14	64.77	-146.29	Closed	-2901886	5260219	-2732236	5257016
41	63.866667	-148.85	14.6	14.6	14.6	15	64.85	-146.1	Closed	-2901886	5260219	-2719144	5257998
42	63.866667	-148.85	15	15	15	15	64.85	-146.1	Closed	-2901886	5260219	-2719144	5257998
43	63.866667	-148.85	16	16	16	16	64.93	-145.91	Closed	-2901886	5260219	-2706073	5259003
53	39.781	-123.235	15.97	11.61	13.79	14	39.63	-118.44	Closed	-2280216	2191430	-1891034	2069823
54	52.467	-125.3167	12	8	10	10	53.01	-123.19	Closed	-2023054	3580355	-1863987	3592765
55	52.0164	-125.353	12	8	10	10	52.55	-123.27	Closed	-2040273	3534762	-1883335	3546845
56	51.9194	-123.0417	12	8	10	10	52.45	-120.9	Closed	-1887119	3476964	-1726398	3491451
57	52.9833	-122.4833	12	8	10	10	53.51	-120.32	Closed	-1817607	3576320	-1658234	3591272
58	50.886	-120.7844	12	8	10	10	51.41	-118.63	Closed	-1762271	3325588	-1598698	3342689
61	44.5	-119.633	7.5	7.3	7.4	7	44.43	-117.28	Open	-1855518	2621963	-1675780	2570661
99	37.5406	-77.4358	16	11.6	13.8	14	37.74	-74.37	Closed	1614483	1769530	1871779	1847621
100	30.468	-84.986	18	15	16.5	16	30.82	-81.71	Closed	1053176	882434	1358482	962782
101	46.342	-115.789	12.5	10.5	11.5	12	46.26	-111.79	Closed	-1516192	2753235	-1214490	2686836
102	43	-116.55	10.5	8.5	9.5	10	42.92	-113.16	Closed	-1653441	2402173	-1385559	2339200
103	38.548	-75.062	11.6	5.3	8.45	8	38.67	-73.27	Closed	1793092	1922580	1940498	1971099
110	38.548	-75.062	11.7	9.6	10.65	11	38.7	-72.61	Closed	1793092	1922580	1994898	1988028
113	38.548	-75.062	11.9	10.2	11.05	11	38.7	-72.61	Closed	1793092	1922580	1994898	1988028
116	38.548	-75.062	17	14	15.5	16	38.72	-71.54	Closed	1793092	1922580	2083607	2013160
120	38.548	-75.062	20.8	17	18.9	19	38.73	-70.9	Closed	1793092	1922580	2136576	2028453
127	34.583	-112.418	11.6	3.6	7.6	8	34.96	-110.79	Closed	-1486748	1408901	-1334045	1426344
128	40.034	-74.333	11	11	11	11	40.17	-71.85	Closed	1816814	2098800	2016923	2163685
129	78.257	-75.155	3.6	2.6	3.1	3	78.3	-73.78	Open	953192	5653215	1014406	5669752
131	78.257	-75.155	11.6	3.6	7.6	8	78.37	-71.45	Closed	953192	5653215	1117537	5699606
252	29.285	-82.339	13.6	4.9	9.25	9	29.48	-80.46	Open	1323512	785387	1500511	834661
253	47.925	-119.071	11.6	5.3	8.45	8	48.34	-117.37	Closed	-1720964	2979820	-1586114	2994720
254	42.808	-101.032	7.2	5.3	6.25	6	43.04	-99.71	Open	-408989	2212081	-300593	2233039
255	46.506	-120.541	11.6	3.6	7.6	8	46.42	-117.87	Closed	-1868316	2855565	-1670974	2796573
256	46.657	-120.522	11.6	3.6	7.6	8	46.57	-117.86	Closed	-1862632	2871369	-1666433	2812585
259	46.702	-120.547	11.6	3.6	7.6	8	46.61	-117.88	Closed	-1863215	2876679	-1666920	2817251
260	46.818	-120.645	11.6	5.3	8.45	8	46.73	-117.98	Closed	-1867192	2891021	-1671355	2831948
261	46.901	-120.467	11.6	5.3	8.45	8	46.81	-117.8	Closed	-1851667	2896422	-1655895	2837422
262	42.101	-114.021	16	11.6	13.8	14	42.6	-110.62	Closed	-1471522	2262151	-1187713	2269545
263	39.422	-119.296	14.8	13.3	14.05	14	39.31	-114.5	Closed	-1967403	2064562	-1570607	1963013
264	36.562	-121.886	16	5.3	10.65	11	35.96	-118.44	Closed	-2267210	1812389	-1987244	1669977
265	63.85	-148.96	11.6	6.7	9.15	9	64.4	-147.33	Closed	-2908124	5262241	-2800986	5257531
266	38.5	-120.01	7	7	7	7	38.43	-117.6	Closed	-2052265	1979506	-1851801	1922379
268	35.97	-120.02	5	5	5	5	35.92	-118.28	Open	-2123994	1705240	-1974376	1662286
269	79.934	-99.242	5.3	3.6	4.45	4	80.09	-97.46	Open	-146459	5637425	-65852	5642906
270	71.584	-131.217	16	11.6	13.8	14	72.42	-127.71	Closed	-1748134	5429534	-1560050	5428366
271	75.105	-87.101	23	16	19.5	20	75.52	-78.81	Closed	427578	5376148	817730	5457613
272	38.58	-122.67	5.3	2.6	3.95	4	38.53	-121.29	Closed	-2271455	2048672	-2158262	2011113
274	38.4	-122.64	5.3	2.6	3.95	4	38.35	-121.26	Closed	-2274549	2028567	-2161063	1990965
275	38.4	-122.67	5.3	2.6	3.95	4	38.35	-121.29	Closed	-2277043	2029286	-2163568	1991647
276	38.51	-122.72	5.3	2.6	3.95	4	38.46	-121.34	Closed	-2277778	2042330	-2164495	2004680
277	38.193	-122.53	5.3	2.6	3.95	4	38.14	-121.15	Closed	-2271797	2003636	-2158030	1965750
278	37.85	-122.11	5.3	2.6	3.95	4	37.8	-120.73	Closed	-2247179	1956671	-2132620	1919466
279	37.88	-122.14	5.3	2.6	3.95	4	37.83	-120.76	Closed	-2248782	1960617	-2134283	1923388
280	37.69	-122.5	5.3	2.6	3.95	4	37.64	-121.12	Closed	-2284812	1948720	-2170157	1910975
281	37.28	-122.04	5.3	2.6	3.95	4	37.23	-120.66	Closed	-2258591	1893520	-2143111	1856156
282	40.12	-123.8	5.3	2.6	3.95	4	40.07	-122.43	Closed	-2315223	2241494	-2205702	2203531
283	40.12	-123.81	5.3	2.6	3.95	4	40.07	-122.44	Closed	-2316032	2241737	-2206515	2203763
