index	lon	lat	age	label	paleolon	paleolat	rounded_ages
3	-123.033	74.3	15.0	0	-118.54	75.13	14.895
9	-141.333	67.333	15.2	0	-138.22	68.29	14.895
31	-148.941	63.9	15.5	0	-146.01	64.96	14.895
32	-141.916667	64.083333	2.9	1	-141.33	64.26	3.09
33	-145.616667	63.233333	5.26	1	-143.8	63.35	4.4665
34	-163.116667	65.883333	5.7	0	-162.24	66.24	6.2895
35	-142.133333	67.15	6.57	0	-140.74	67.57	6.2895
36	-148.85	63.86666700000001	8.0	0	-147.4	64.35	9.438
39	-148.85	63.86666700000001	13.4	0	-146.47	64.7	12.725000000000001
42	-148.85	63.86666700000001	15.0	0	-146.1	64.85	14.895
43	-148.85	63.86666700000001	16.0	0	-145.91	64.93	18.205000000000002
53	-123.235	39.781	13.79	0	-118.44	39.63	12.725000000000001
54	-125.3167	52.467	10.0	0	-123.19	53.01	9.438
55	-125.353	52.0164	10.0	0	-123.27	52.55	9.438
56	-123.0417	51.9194	10.0	0	-120.9	52.45	9.438
57	-122.4833	52.9833	10.0	0	-120.32	53.51	9.438
58	-120.7844	50.886	10.0	0	-118.63	51.41	9.438
61	-119.633	44.5	7.4	1	-117.28	44.43	9.438
99	-77.4358	37.5406	13.8	0	-74.37	37.74	12.725000000000001
100	-84.986	30.468000000000004	16.5	0	-81.71	30.82	18.205000000000002
101	-115.789	46.342	11.5	0	-111.79	46.26	9.438
102	-116.55	43.0	9.5	0	-113.16	42.92	9.438
113	-75.062	38.548	11.05	0	-72.61	38.7	9.438
116	-75.062	38.548	15.5	0	-71.54	38.72	14.895
120	-75.062	38.548	18.9	0	-70.9	38.73	18.205000000000002
127	-112.418	34.583	7.6	0	-110.79	34.96	9.438
128	-74.333	40.034	11.0	0	-71.85	40.17	9.438
129	-75.155	78.257	3.1	1	-73.78	78.3	3.09
131	-75.155	78.257	7.6	0	-71.45	78.37	9.438
252	-82.339	29.285	9.25	1	-80.46	29.48	9.438
253	-119.071	47.925	8.45	0	-117.37	48.34	9.438
254	-101.032	42.808	6.25	1	-99.71	43.04	6.2895
255	-120.541	46.506	7.6	0	-117.87	46.42	9.438
256	-120.522	46.657	7.6	0	-117.86	46.57	9.438
259	-120.547	46.702	7.6	0	-117.88	46.61	9.438
260	-120.645	46.81800000000001	8.45	0	-117.98	46.73	9.438
261	-120.467	46.901	8.45	0	-117.8	46.81	9.438
262	-114.021	42.101000000000006	13.8	0	-110.62	42.6	12.725000000000001
263	-119.296	39.422	14.05	0	-114.5	39.31	14.895
264	-121.886	36.562	10.65	0	-118.44	35.96	9.438
265	-148.96	63.85	9.15	0	-147.33	64.4	9.438
266	-120.01	38.5	7.0	0	-117.6	38.43	6.2895
268	-120.02	35.97	5.0	1	-118.28	35.92	4.4665
269	-99.242	79.934	4.45	1	-97.46	80.09	4.4665
270	-131.217	71.584	13.8	0	-127.71	72.42	12.725000000000001
271	-87.101	75.105	19.5	0	-78.81	75.52	18.205000000000002
272	-122.67	38.58	3.95	0	-121.29	38.53	4.4665
274	-122.64	38.4	3.95	0	-121.26	38.35	4.4665
275	-122.67	38.4	3.95	0	-121.29	38.35	4.4665
276	-122.72	38.51	3.95	0	-121.34	38.46	4.4665
277	-122.53	38.19300000000001	3.95	0	-121.15	38.14	4.4665
278	-122.11	37.85	3.95	0	-120.73	37.8	4.4665
279	-122.14	37.88	3.95	0	-120.76	37.83	4.4665
280	-122.5	37.69	3.95	0	-121.12	37.64	4.4665
281	-122.04	37.28	3.95	0	-120.66	37.23	4.4665
282	-123.8	40.12	3.95	0	-122.43	40.07	4.4665
283	-123.81	40.12	3.95	0	-122.44	40.07	4.4665
284	-123.73	40.06	3.95	0	-122.36	40.01	4.4665
285	-120.45	41.49	3.1	0	-119.43	41.46	3.09
286	-120.28	36.05	3.95	0	-118.89	36.01	4.4665
287	-119.28	34.35	3.95	0	-118.02	34.14	4.4665
290	-132.02	54.02	7.1	0	-130.62	54.41	6.2895
298	-123.778	47.043	8.45	0	-121.11	46.93	9.438
304	-93.059	31.088	12.25	0	-90.58	31.46	12.725000000000001
305	-122.599	53.085	8.45	0	-120.87	53.51	9.438
306	-118.171	44.715	8.3	0	-115.48	44.64	9.438
308	-135.75	69.33	3.1	0	-135.1	69.51	3.09
309	-135.75	69.33	3.95	0	-134.88	69.56	4.4665
310	-135.75	69.33	17.3	1	-131.82	70.4	18.205000000000002
311	-104.8	40.93	21.35	0	-100.31	41.79	21.735
313	-104.03	40.78	18.7	1	-99.99	41.56	18.205000000000002
314	-103.92	40.99	17.95	1	-100.08	41.73	18.205000000000002
315	-103.94	40.89	14.4	1	-100.94	41.47	14.895
318	-104.03	40.78	13.3	1	-101.25	41.32	12.725000000000001
319	-103.89	40.74	11.5	0	-101.31	41.23	9.438
320	-110.98	46.71	27.5	0	-104.47	47.82	25.425
321	-113.06	46.71	27.5	1	-106.6	47.89	25.425
322	-111.92	46.01	24.15	0	-106.55	47.08	25.425
323	-111.85	45.99	19.0	0	-107.74	46.9	18.205000000000002
324	-113.26	44.78	21.0	0	-108.19	45.54	21.735
325	-113.25	44.79	17.2	1	-109.18	45.41	18.205000000000002
329	-113.25	44.8	15.1	1	-109.65	45.35	14.895
330	-112.55	44.93	15.8	1	-109.13	45.71	14.895
331	-111.43	45.75	14.15	0	-108.4	46.41	14.895
332	-114.2	45.9	13.4	1	-111.11	46.36	12.725000000000001
333	-103.53	42.76	29.0	0	-96.93	43.62	30.86
334	-103.68	42.3	28.4	0	-97.36	43.16	30.86
335	-104.77	42.65	28.4	0	-98.44	43.55	30.86
336	-103.93	42.75	28.1	0	-97.59	43.62	30.86
339	-103.93	42.75	26.0	0	-98.09	43.62	25.425
341	-103.88	42.03	26.5	0	-98.08	42.9	25.425
342	-103.01	42.72	25.0	0	-97.41	43.56	25.425
345	-103.93	42.69	19.5	1	-99.61	43.51	18.205000000000002
346	-103.46	42.43	24.0	1	-98.14	43.28	25.425
