lng	lat	avg_age	paleolng	paleolat
-99.25	79.75	2	-98.38	79.83
-98.75	79.75	2	-97.87	79.83
-95.75	79.75	2	-94.85	79.82
-95.25	79.75	2	-94.35	79.82
-94.75	79.75	2	-93.85	79.82
-94.25	79.75	2	-93.34	79.82
-93.75	79.75	2	-92.84	79.82
-93.25	79.75	2	-92.34	79.82
-92.75	79.75	2	-91.83	79.82
-92.25	79.75	2	-91.33	79.81
-91.75	79.75	2	-90.83	79.81
-91.25	79.75	2	-90.32	79.81
-90.75	79.75	2	-89.82	79.81
-90.25	79.75	2	-89.32	79.81
-89.75	79.75	2	-88.81	79.81
-89.25	79.75	2	-88.31	79.81
-88.75	79.75	2	-87.81	79.81
-88.25	79.75	2	-87.31	79.81
-87.75	79.75	2	-86.8	79.81
-87.25	79.75	2	-86.3	79.81
-86.25	79.75	2	-85.29	79.8
-85.75	79.75	2	-84.79	79.8
-85.25	79.75	2	-84.29	79.8
-84.75	79.75	2	-83.79	79.8
-84.25	79.75	2	-83.29	79.8
-83.75	79.75	2	-82.78	79.8
-83.25	79.75	2	-82.28	79.8
-82.75	79.75	2	-81.78	79.8
-82.25	79.75	2	-81.28	79.8
-81.25	79.75	2	-80.27	79.79
-80.75	79.75	2	-79.77	79.79
-80.25	79.75	2	-79.27	79.79
-79.75	79.75	2	-78.77	79.79
-79.25	79.75	2	-78.26	79.79
-78.75	79.75	2	-77.76	79.79
-78.25	79.75	2	-77.26	79.79
-77.75	79.75	2	-76.76	79.79
-77.25	79.75	2	-76.26	79.79
-76.75	79.75	2	-75.75	79.79
-76.25	79.75	2	-75.25	79.78
-75.75	79.75	2	-74.75	79.78
-75.25	79.75	2	-74.25	79.78
-74.75	79.75	2	-73.75	79.78
-74.25	79.75	2	-73.25	79.78
-73.75	79.75	2	-72.75	79.78
-72.75	79.75	2	-71.74	79.78
-72.25	79.75	2	-71.24	79.78
-71.75	79.75	2	-70.74	79.77
-64.75	79.75	2	-63.73	79.76
-64.25	79.75	2	-63.23	79.76
-63.75	79.75	2	-62.73	79.76
-63.25	79.75	2	-62.23	79.76
-62.75	79.75	2	-61.73	79.76
-62.25	79.75	2	-61.23	79.75
-61.75	79.75	2	-60.73	79.75
-61.25	79.75	2	-60.23	79.75
-60.75	79.75	2	-59.73	79.75
-60.25	79.75	2	-59.23	79.75
-59.75	79.75	2	-58.73	79.75
-59.25	79.75	2	-58.23	79.75
-58.75	79.75	2	-57.73	79.75
-58.25	79.75	2	-57.23	79.75
-57.75	79.75	2	-56.73	79.75
-57.25	79.75	2	-56.23	79.74
-56.75	79.75	2	-55.73	79.74
-56.25	79.75	2	-55.23	79.74
-55.75	79.75	2	-54.73	79.74
-55.25	79.75	2	-54.23	79.74
-54.75	79.75	2	-53.73	79.74
-54.25	79.75	2	-53.23	79.74
-53.75	79.75	2	-52.73	79.74
-53.25	79.75	2	-52.23	79.74
-52.75	79.75	2	-51.73	79.73
-52.25	79.75	2	-51.23	79.73
-105.25	79.25	2	-104.45	79.34
-104.75	79.25	2	-103.94	79.34
-104.25	79.25	2	-103.44	79.33
-103.75	79.25	2	-102.94	79.33
-103.25	79.25	2	-102.43	79.33
-92.25	79.25	2	-91.36	79.31
-91.75	79.25	2	-90.85	79.31
-91.25	79.25	2	-90.35	79.31
-90.75	79.25	2	-89.85	79.31
-90.25	79.25	2	-89.34	79.31
-89.75	79.25	2	-88.84	79.31
-89.25	79.25	2	-88.34	79.31
-88.75	79.25	2	-87.84	79.31
-88.25	79.25	2	-87.33	79.31
-87.75	79.25	2	-86.83	79.31
-87.25	79.25	2	-86.33	79.31
-86.75	79.25	2	-85.83	79.3
-86.25	79.25	2	-85.32	79.3
-85.75	79.25	2	-84.82	79.3
-85.25	79.25	2	-84.32	79.3
-84.25	79.25	2	-83.31	79.3
-83.75	79.25	2	-82.81	79.3
-83.25	79.25	2	-82.31	79.3
-82.75	79.25	2	-81.81	79.3
-82.25	79.25	2	-81.31	79.3
-81.75	79.25	2	-80.8	79.3
-81.25	79.25	2	-80.3	79.29
-80.75	79.25	2	-79.8	79.29
-80.25	79.25	2	-79.3	79.29
-79.75	79.25	2	-78.8	79.29
-79.25	79.25	2	-78.29	79.29
-78.75	79.25	2	-77.79	79.29
-78.25	79.25	2	-77.29	79.29
-77.75	79.25	2	-76.79	79.29
-77.25	79.25	2	-76.29	79.29
-76.75	79.25	2	-75.79	79.29
-65.25	79.25	2	-64.26	79.26
-64.75	79.25	2	-63.76	79.26
-64.25	79.25	2	-63.26	79.26
-63.75	79.25	2	-62.76	79.26
-63.25	79.25	2	-62.26	79.26
-62.75	79.25	2	-61.76	79.26
-62.25	79.25	2	-61.26	79.25
-61.75	79.25	2	-60.76	79.25
-61.25	79.25	2	-60.26	79.25
-60.75	79.25	2	-59.76	79.25
-60.25	79.25	2	-59.26	79.25
-59.75	79.25	2	-58.76	79.25
-59.25	79.25	2	-58.26	79.25
-58.75	79.25	2	-57.76	79.25
-58.25	79.25	2	-57.26	79.25
-57.75	79.25	2	-56.76	79.25
-57.25	79.25	2	-56.26	79.24
-56.75	79.25	2	-55.76	79.24
-56.25	79.25	2	-55.26	79.24
-55.75	79.25	2	-54.76	79.24
-55.25	79.25	2	-54.26	79.24
-54.75	79.25	2	-53.76	79.24
-54.25	79.25	2	-53.26	79.24
-53.75	79.25	2	-52.76	79.24
-53.25	79.25	2	-52.26	79.24
-52.75	79.25	2	-51.76	79.23
-52.25	79.25	2	-51.26	79.23
-103.75	78.75	2	-102.96	78.83
-103.25	78.75	2	-102.45	78.83
-102.75	78.75	2	-101.95	78.83
-102.25	78.75	2	-101.45	78.83
-101.75	78.75	2	-100.94	78.83
-101.25	78.75	2	-100.44	78.83
-100.75	78.75	2	-99.93	78.83
-100.25	78.75	2	-99.43	78.83
