x	y
-89.25	79.75
-88.75	79.75
-88.25	79.75
-87.75	79.75
-86.75	79.75
-79.25	79.75
-78.75	79.75
-77.75	79.75
-77.25	79.75
-76.25	79.75
-75.75	79.75
-75.25	79.75
-74.75	79.75
-74.25	79.75
-73.75	79.75
-73.25	79.75
-72.75	79.75
-72.25	79.75
-71.75	79.75
-71.25	79.75
-70.25	79.75
-69.25	79.75
-68.75	79.75
-68.25	79.75
-67.75	79.75
-67.25	79.75
-66.75	79.75
-66.25	79.75
-65.75	79.75
-64.75	79.75
-64.25	79.75
-63.75	79.75
-63.25	79.75
-62.75	79.75
-62.25	79.75
-61.75	79.75
-61.25	79.75
-60.75	79.75
-60.25	79.75
-59.75	79.75
-59.25	79.75
-58.75	79.75
-58.25	79.75
-57.75	79.75
-57.25	79.75
-56.75	79.75
-56.25	79.75
-55.75	79.75
-55.25	79.75
-54.75	79.75
-54.25	79.75
-53.75	79.75
-90.25	79.25
-89.75	79.25
-89.25	79.25
-88.75	79.25
-88.25	79.25
-87.75	79.25
-87.25	79.25
-86.75	79.25
-86.25	79.25
-85.75	79.25
-85.25	79.25
-82.75	79.25
-82.25	79.25
-78.25	79.25
-77.75	79.25
-77.25	79.25
-76.75	79.25
-76.25	79.25
-75.75	79.25
-75.25	79.25
-74.75	79.25
-74.25	79.25
-73.75	79.25
-73.25	79.25
-72.75	79.25
-72.25	79.25
-71.75	79.25
-71.25	79.25
-70.75	79.25
-70.25	79.25
-68.25	79.25
-67.75	79.25
-67.25	79.25
-66.75	79.25
-66.25	79.25
-65.75	79.25
-65.25	79.25
-64.75	79.25
-64.25	79.25
-63.75	79.25
-63.25	79.25
-62.75	79.25
-62.25	79.25
-61.75	79.25
-61.25	79.25
-60.75	79.25
-60.25	79.25
-59.75	79.25
-59.25	79.25
-58.75	79.25
-58.25	79.25
-57.75	79.25
-103.75	78.75
-99.75	78.75
-99.25	78.75
-98.75	78.75
-98.25	78.75
-97.75	78.75
-97.25	78.75
-96.75	78.75
-86.25	78.75
-85.75	78.75
-85.25	78.75
-84.75	78.75
-82.75	78.75
-82.25	78.75
-81.75	78.75
-81.25	78.75
-80.75	78.75
-77.75	78.75
-77.25	78.75
-76.75	78.75
-76.25	78.75
-75.75	78.75
-75.25	78.75
-74.25	78.75
-73.75	78.75
-73.25	78.75
-71.75	78.75
-71.25	78.75
-70.75	78.75
-70.25	78.75
-69.75	78.75
-69.25	78.75
-68.75	78.75
-68.25	78.75
-67.25	78.75
-66.75	78.75
-66.25	78.75
-65.75	78.75
-65.25	78.75
-64.75	78.75
-64.25	78.75
-63.75	78.75
-63.25	78.75
-62.75	78.75
-61.75	78.75
-61.25	78.75
-59.75	78.75
-59.25	78.75
-108.25	78.25
-107.75	78.25
-107.25	78.25
-106.75	78.25
-106.25	78.25
-105.75	78.25
-105.25	78.25
-104.75	78.25
-104.25	78.25
-103.75	78.25
-91.75	78.25
-81.25	78.25
-71.25	78.25
-70.75	78.25
-69.75	78.25
-69.25	78.25
-68.75	78.25
-68.25	78.25
-67.75	78.25
-67.25	78.25
-66.75	78.25
-66.25	78.25
-65.75	78.25
-65.25	78.25
-64.75	78.25
-64.25	78.25
-63.75	78.25
-63.25	78.25
-62.75	78.25
-62.25	78.25
-61.75	78.25
-61.25	78.25
-60.75	78.25
-60.25	78.25
-54.25	78.25
-53.75	78.25
-53.25	78.25
-52.75	78.25
-52.25	78.25
-110.75	77.75
-110.25	77.75
-109.75	77.75
-109.25	77.75
-108.75	77.75
-108.25	77.75
-107.75	77.75
-107.25	77.75
-106.75	77.75
-105.75	77.75
-105.25	77.75
-96.25	77.75
-95.75	77.75
-76.75	77.75
-76.25	77.75
-75.75	77.75
-73.25	77.75
-72.75	77.75
-72.25	77.75
-71.75	77.75
-70.75	77.75
-70.25	77.75
-69.75	77.75
-69.25	77.75
-68.25	77.75
-67.75	77.75
-67.25	77.75
-66.75	77.75
-66.25	77.75
-65.75	77.75
-65.25	77.75
-64.75	77.75
-64.25	77.75
-63.75	77.75
-63.25	77.75
-62.75	77.75
-62.25	77.75
-61.75	77.75
-58.25	77.75
-57.75	77.75
-57.25	77.75
-56.75	77.75
-56.25	77.75
-55.75	77.75
-55.25	77.75
-54.75	77.75
-54.25	77.75
-53.75	77.75
-53.25	77.75
-52.75	77.75
-52.25	77.75
-108.75	77.25
-108.25	77.25
-106.75	77.25
-106.25	77.25
-104.25	77.25
-103.75	77.25
-103.25	77.25
-102.75	77.25
-102.25	77.25
-101.75	77.25
-101.25	77.25
-100.75	77.25
-100.25	77.25
-97.25	77.25
-96.75	77.25
-96.25	77.25
-95.75	77.25
-91.25	77.25
-90.75	77.25
-90.25	77.25
-87.25	77.25
-86.75	77.25
-83.25	77.25
-82.75	77.25
-82.25	77.25
-81.75	77.25
-81.25	77.25
-80.75	77.25
-80.25	77.25
-74.75	77.25
-74.25	77.25
-73.75	77.25
-73.25	77.25
-72.75	77.25
-72.25	77.25
-71.75	77.25
-71.25	77.25
-70.75	77.25
-70.25	77.25
-69.75	77.25
-69.25	77.25
-68.75	77.25
-68.25	77.25
-66.25	77.25
-65.75	77.25
-65.25	77.25
-64.75	77.25
-64.25	77.25
-57.25	77.25
-56.75	77.25
-56.25	77.25
-55.75	77.25
-55.25	77.25
-54.75	77.25
-54.25	77.25
-53.75	77.25
-53.25	77.25
-52.75	77.25
-52.25	77.25
-103.75	76.75
-103.25	76.75
-102.75	76.75
-102.25	76.75
-101.75	76.75
-101.25	76.75
-100.75	76.75
-100.25	76.75
-99.75	76.75
-96.75	76.75
-96.25	76.75
-95.75	76.75
-95.25	76.75
-94.75	76.75
-94.25	76.75
-93.75	76.75
-93.25	76.75
-91.25	76.75
-90.75	76.75
-90.25	76.75
-88.75	76.75
-88.25	76.75
-87.75	76.75
-86.75	76.75
-86.25	76.75
-85.75	76.75
-85.25	76.75
-84.75	76.75
-81.75	76.75
-80.75	76.75
-79.75	76.75
-79.25	76.75
-78.75	76.75
-78.25	76.75
-77.75	76.75
-75.75	76.75
-74.75	76.75
-74.25	76.75
-73.75	76.75
-73.25	76.75
-72.75	76.75
-72.25	76.75
-71.75	76.75
-71.25	76.75
-70.75	76.75
-70.25	76.75
-69.75	76.75
-69.25	76.75
-68.75	76.75
-68.25	76.75
-67.75	76.75
-67.25	76.75
-66.75	76.75
-66.25	76.75
-65.75	76.75
-64.75	76.75
-58.75	76.75
-57.25	76.75
-52.75	76.75
-52.25	76.75
