scenario	test_acc	paleo_acc	current_acc	posterior_threshold	retained_data
n_current_331_n_paleo_331_nnodes_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.887	0.888	0.876	0.630	0.921
n_current_331_n_paleo_331_nnodes_8_biotic_1_abiotic_0_sumpool_0_maxpool_0	0.883	0.885	0.861	0.600	0.943
n_current_1655_n_paleo_331_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.887	0.885	0.908	0.600	0.949
n_current_662_n_paleo_331_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.886	0.885	0.900	0.610	0.967
n_current_331_n_paleo_331_nnodes_32_8_biotic_0_abiotic_1_sumpool_0_maxpool_0	0.878	0.879	0.873	0.610	0.918
n_current_331_n_paleo_331_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.874	0.873	0.879	0.670	0.924
n_current_331_n_paleo_331_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_1	0.871	0.870	0.882	0.680	0.879
n_current_331_n_paleo_331_nnodes_8_biotic_1_abiotic_1_sumpool_1_maxpool_0	0.870	0.870	0.873	0.580	0.952
n_current_331_n_paleo_331_nnodes_32_8_biotic_1_abiotic_0_sumpool_0_maxpool_0	0.868	0.870	0.852	0.620	0.921
n_current_0_n_paleo_331_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.849	0.870	0.644	0.680	0.906
n_current_331_n_paleo_331_nnodes_8_biotic_1_abiotic_1_sumpool_0_maxpool_1	0.868	0.870	0.852	0.690	0.852
n_current_331_n_paleo_331_nnodes_32_8_biotic_1_abiotic_1_sumpool_1_maxpool_0	0.867	0.864	0.900	0.640	0.918
n_current_331_n_paleo_331_nnodes_8_biotic_0_abiotic_1_sumpool_0_maxpool_0	0.851	0.855	0.807	0.820	0.387
n_current_331_n_paleo_331_nnodes_32_8_biotic_1_abiotic_0_sumpool_1_maxpool_0	0.844	0.843	0.858	0.670	0.834
n_current_331_n_paleo_331_nnodes_8_biotic_1_abiotic_0_sumpool_1_maxpool_0	0.827	0.825	0.846	0.730	0.764
n_current_331_n_paleo_331_nnodes_32_8_biotic_1_abiotic_0_sumpool_0_maxpool_1	0.800	0.798	0.822	0.740	0.619
n_current_331_n_paleo_331_nnodes_8_biotic_1_abiotic_0_sumpool_0_maxpool_1	0.739	0.737	0.761	0.700	0.562
n_current_331_n_paleo_0_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.622	0.595	0.891	1.000	0.000
n_current_662_n_paleo_0_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.590	0.559	0.905	1.000	0.000
n_current_1655_n_paleo_0_nnodes_32_8_biotic_1_abiotic_1_sumpool_0_maxpool_0	0.547	0.511	0.908	1.000	0.000
