it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	feat_w1_space	feat_w1_time	mean_feat_w2	std_feat_w2	acc_prob	mcmc_id
200	-4335.5563690456665	-366.73281197871563	-3968.823557066951	0.530188679245283	0	0.0	1.0	0.005451959816256708	0.15735834770603285	0.013426812038295436	0.18829798053448527	0.031512180571796895	0.27986337479505147	0.0136388753103081	-0.12912250950934337	0.003229025347724443	0.0966644703828117	0.8415841584158416	1
400	-4361.148095964646	-367.49253063479415	-3993.655565329852	0.530188679245283	0	0.0	1.0	0.006315894213255778	0.19225740848483627	0.013165645253508983	0.24972177066668982	-0.005540075602423246	0.3386298831583481	0.03881763980135273	-0.14200682826208819	0.003872176907494123	0.09765273029689199	0.7425742574257426	1
600	-4388.956586351752	-366.6983313451645	-4022.258255006587	0.5377358490566038	0	0.020080321285140562	0.99644128113879	0.0041606565334603475	0.22762968792995	0.025301689885408537	0.2877867480464942	0.12329659724723793	0.366309829287658	0.034904918212091664	-0.135291212359263	0.0044988077284935975	0.10018341368901518	0.8415841584158416	1
800	-4412.340491284492	-364.41843450522833	-4047.9220567792636	0.5679245283018868	0	0.22088353413654618	0.8754448398576512	0.0005951538897448077	0.2559292587702872	0.02932735807812765	0.318281624382466	0.02757807366607034	0.3405294930906374	0.008981102473612747	-0.19082140978440948	0.0037805368556584973	0.10167040509483073	0.7920792079207921	1
1000	-4427.586766877196	-361.9140411509109	-4065.672725726285	0.5584905660377358	0	0.39357429718875503	0.7046263345195729	-0.00016795988162632449	0.27277953479510514	0.04807465679497323	0.33209462230526554	0.07101867522394423	0.46967753784072286	-0.017622136639893503	-0.24202762266964636	0.004466154412709657	0.1039235439896281	0.693069306930693	1
1200	-4449.007804676632	-360.8441968994216	-4088.163607777211	0.5547169811320755	0	0.42971887550200805	0.6654804270462633	0.0016440351330093057	0.2930608952347197	0.04058617878987298	0.36098427640543707	0.007887768929962723	0.49679512591709984	-0.022270292817246146	-0.2512787264549664	0.005453357648838748	0.10543307601507865	0.6336633663366337	1
1400	-4460.287407958043	-355.27430756005384	-4105.01310039799	0.5641509433962264	0	0.5020080321285141	0.6192170818505338	0.00032197622041468354	0.3050416944321995	0.039324533450160695	0.39526227498566624	0.12836101554169504	0.5902962511378577	-0.10011735599954592	-0.23288532858946495	0.00274281694763264	0.1074781012589778	0.5841584158415841	1
1600	-4483.337283933682	-356.4753617834275	-4126.861922150254	0.5981132075471698	0	0.39759036144578314	0.7758007117437722	0.0027599178217909016	0.32463067200675294	0.022009975415568827	0.402049608130953	0.1405900312905718	0.5912670251343292	-0.12388154665796039	-0.305841346110787	0.002660249250602605	0.10885475037366052	0.5742574257425742	1
1800	-4501.298013867833	-355.85455366873214	-4145.443460199101	0.5943396226415094	0	0.4899598393574297	0.6868327402135231	-0.0003949831261610067	0.3396119075561428	0.03162436431545827	0.41574369680614437	0.13375747785314435	0.5961456263859576	-0.10992953220009391	-0.26968967629021523	0.0023083663657790603	0.10867001393829226	0.7326732673267327	1
2000	-4522.031452423268	-354.80490289647685	-4167.226549526791	0.5452830188679245	0	0.5582329317269076	0.5338078291814946	0.0014788543037070098	0.356328336171271	0.03159376423520419	0.4323914802534688	0.07422815384101716	0.5904411200291849	-0.09901402035509071	-0.3285134565056054	0.0027545835498038805	0.11119882221887592	0.7227722772277227	1
2200	-4533.002522653168	-348.8120922739279	-4184.19043037924	0.5830188679245283	0	0.5542168674698795	0.608540925266904	-0.0008333712216467142	0.36765941190953255	0.008933111990486504	0.4546699400776133	0.0822095814135982	0.6172099619851158	-0.11947759577686146	-0.36640122064288566	0.00417948613388445	0.11303087963589305	0.6237623762376238	1
2400	-4549.686511173708	-344.8510365986382	-4204.835474575069	0.6452830188679245	0	0.5140562248995983	0.7615658362989324	-0.0005347860641936089	0.3819338429406037	0.002899944782466189	0.4758406968584784	0.109537312735793	0.5653512495267303	-0.1480947455168665	-0.32877913447259294	0.005633813258777801	0.11688657020434393	0.6336633663366337	1
2600	-4562.721784347072	-341.34293307641985	-4221.3788512706515	0.6641509433962264	0	0.4819277108433735	0.8256227758007118	0.00022899494188543103	0.39166632547622493	0.009797594083205612	0.49618484212248803	0.1370396617264576	0.6461422100971874	-0.08318145993975413	-0.37344978962139935	0.0044026052797254195	0.11819489688271272	0.48514851485148514	1
2800	-4574.727545012822	-340.1760746393403	-4234.551470373482	0.6622641509433962	0	0.43775100401606426	0.8612099644128114	0.0004598386774785935	0.40064214721836006	0.023901079131208924	0.5037464389646354	0.14227264959189911	0.632920903959251	-0.09836363382980345	-0.3736693650038239	0.004938055974428525	0.11929526948182359	0.5148514851485149	1
3000	-4599.70439127857	-339.8245766657699	-4259.8798146128	0.6415094339622641	0	0.4899598393574297	0.7758007117437722	-0.002568186331755842	0.4149291966014665	0.03413710819204679	0.5325873696243669	0.12797056466429257	0.738603622403428	-0.11211791954974276	-0.3666323492476996	0.005856955655854973	0.12040469349509507	0.4752475247524752	1
3200	-4607.369597499726	-334.4323132757672	-4272.937284223959	0.6698113207547169	0	0.4538152610441767	0.8612099644128114	-0.0017244175663678708	0.4228598918379907	0.023111875516126805	0.5398959742014274	0.10477691831203105	0.7852404558653806	-0.0607024595287297	-0.3786576827945389	0.005570350235558372	0.1225840698262262	0.44554455445544555	1
3400	-4614.674969177371	-328.5660740431405	-4286.108895134231	0.660377358490566	0	0.4979919678714859	0.8042704626334519	-0.0006030119688180046	0.4290884821407957	0.03384201147275847	0.5607642750552577	0.0665947961065447	0.8480856694714711	-0.06584498993542275	-0.4037746777255064	0.004621964226754496	0.12413680011625892	0.43564356435643564	1
3600	-4624.101481683859	-324.3875402634929	-4299.713941420366	0.6811320754716981	0	0.5622489959839357	0.7864768683274022	0.0003337213305938718	0.437115864705193	0.04733141229979505	0.5697285000723488	0.0921892302496414	0.8504164343918303	-0.11473519141431958	-0.4724389546540868	0.004824106260556442	0.1257473265970234	0.46534653465346537	1
3800	-4637.351852067815	-328.3404353060609	-4309.011416761755	0.6547169811320754	0	0.714859437751004	0.6014234875444839	0.002097480242546899	0.44185859219086887	0.05298282624018017	0.5803208677414368	0.16937335908008494	0.8582396313990445	-0.07679215371997854	-0.5102282265732537	0.006070327686829271	0.1278709150379829	0.5544554455445545	1
4000	-4639.730263088096	-324.8031706733721	-4314.927092414724	0.6962264150943396	0	0.6626506024096386	0.7259786476868327	0.0020238738213830634	0.4459185324156195	0.05468617905289314	0.5778435800383205	0.1600957336665363	0.8537366338168066	-0.058233109813726355	-0.49964860961297575	0.005339153995980564	0.13073511950533423	0.504950495049505	1
4200	-4647.937457659484	-324.3022172929416	-4323.635240366542	0.6433962264150943	0	0.5662650602409639	0.7117437722419929	0.0033240069885677567	0.44876369405600913	0.06600695923083645	0.5988851487586055	0.10767412110925009	0.9119565513443079	-0.05384171903637209	-0.4936634466678243	0.005021945512088756	0.13203415238304997	0.4752475247524752	1
4400	-4655.03948914734	-315.82989026441345	-4339.209598882926	0.7169811320754716	0	0.6666666666666666	0.7615658362989324	0.005428362266210681	0.45618133739205863	0.06880617144060064	0.6142338355861243	0.08305812387148762	0.9935500503668963	-0.09368409306022697	-0.4635660703426315	0.005161299579092101	0.13469542110964575	0.43564356435643564	1
4600	-4659.98648104683	-313.77587091995497	-4346.210610126875	0.7339622641509433	0	0.6144578313253012	0.8398576512455516	0.0036296183341361452	0.4593899267268731	0.07868196973640718	0.617623369903253	0.05448399093928823	1.0577690825443884	-0.13902568331764892	-0.4547992079034101	0.004996966753379723	0.13609203316922452	0.36633663366336633	1
4800	-4667.844666321739	-312.8915146463088	-4354.9531516754305	0.7037735849056603	0	0.6104417670682731	0.7864768683274022	0.004777213437298392	0.4640124926018788	0.07494723782778254	0.6277461545242626	-0.010983526681348148	1.043887225592871	-0.15180982634257226	-0.5355609467625186	0.004367730299214838	0.1371193747877257	0.3564356435643564	1
